# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1      7.2222564798      3.3915000000     16.5588344105      1.8857855797      0.0017960590      0.0038749999          93    5.4991108480
    2     10.4605966594      2.5485000000     26.4182558478      1.6880936623      0.0046442747      0.0358750001         768    5.6806699455
    3     12.4976945160      2.1722500000     33.7230262214      1.5142719746      0.0082066311      0.0792083293        1040    5.6992348432
    4     13.2398823134      1.9340833333     39.8271108831      1.3081247807      0.0131425895      0.1237916648        1070    5.6882150858
    5     14.1721857038      1.7695000000     45.2968623569      1.1725475788      0.0195937008      0.1679583341        1060    5.6955420883
    6     14.8092697926      1.6377500000     50.2945014616      1.0275399685      0.0273570903      0.2098333240        1005    5.6935115065
    7     15.5611463433      1.5384166667     54.7077010463      0.9208762646      0.0358237214      0.2480833381         918    5.6935695546
    8     16.2332537232      1.4505833333     58.8049731949      0.8276085854      0.0452406779      0.2845833302         876    5.6925279084
    9     16.8057564434      1.3710833333     62.9617824288      0.7494406700      0.0556159317      0.3199583292         849    5.6922836451
   10     17.2548909895      1.2991666667     66.8370212900      0.6745543480      0.0667038485      0.3538333178         813    5.6823743522
   11     17.5904250514      1.2352500000     70.4074867544      0.6283833981      0.0776975304      0.3842916787         731    5.6766140579
   12     17.9737256563      1.1809166667     73.4514322765      0.6032314301      0.0880287588      0.4107916951         636    5.6751291637
   13     18.1213413504      1.1247500000     76.7223190616      0.5642375946      0.0993899852      0.4382083416         658    5.6285575058
   14     18.2733719494      1.0756666667     79.5701684893      0.5318119526      0.1101091206      0.4624166489         581    5.5438781541
   15     18.1899363471      1.0240000000     82.6002555214      0.5132777691      0.1220854744      0.4880833030         616    5.3162891307
   16     18.0688065652      0.9760000000     85.4644318116      0.4904918671      0.1338165402      0.5120415688         575    4.7462604515
   17     17.8916747471      0.9310000000     88.1553065304      0.4883918762      0.1454495490      0.5345416069         540    4.9800806737
   18     17.6782886444      0.8909166667     90.5595690493      0.4743661880      0.1562315226      0.5545832515         481    5.0582399669
   19     17.4596200579      0.8534166667     92.7797949178      0.4582173824      0.1666868627      0.5733332634         450    5.1336698157
   20     17.1168241595      0.8132500000     95.1897542434      0.4524760246      0.1783275306      0.5934166908         482    4.9781850836
   21     16.7992896508      0.7775833333     97.3306194759      0.4355854988      0.1888881475      0.6112083197         427    3.9435439772
   22     16.4784456846      0.7433333333     99.3622711682      0.4326262474      0.1993586123      0.6283333302         411    3.9435439772
   23     16.1401485493      0.7106666667    101.3504560284      0.4208567142      0.2096870840      0.6446666718         392    3.9435439772
   24     15.7796343448      0.6804166667    103.1610824882      0.4032759666      0.2194614708      0.6597915888         363    3.9435439772
   25     15.3563444248      0.6497500000    104.9812776023      0.3961961269      0.2296246141      0.6751250029         368    3.9435439772
   26     14.9096727524      0.6210833333    106.7270303042      0.3922293186      0.2393205166      0.6894583106         344    3.9435439772
   27     14.4477153224      0.5911666667    108.5129963665      0.3823390007      0.2496423721      0.7044166327         359    3.9435439772
   28     14.0120343534      0.5646666667    110.1060808701      0.3741858006      0.2590258121      0.7176666260         318    3.9435439772
   29     13.6104194005      0.5409166667    111.5521580423      0.3570914268      0.2675757110      0.7295416594         285    3.9435439772
   30     13.2352023622      0.5174166667    112.9659185438      0.3478441238      0.2761262357      0.7412915826         282    3.9435439772
   31     12.7732197553      0.4935833333    114.3995055649      0.3451263905      0.2850022912      0.7532082200         286    3.9435439772
