# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1     29.7575429406      5.4387500000     33.1225159942     20.0352249146      0.0000643657      0.0000833333           2    7.7762807607
    2     62.3870233588      3.9630000000     54.8417784965     20.2562618256      0.0002490276      0.0052916668         125    8.6341851205
    3     86.0021850565      3.2406666667     71.6788985437     17.7401294708      0.0007415702      0.0192499999         335    9.0032652987
    4     99.8439982402      2.7822500000     86.1341627110     15.9048519135      0.0017408695      0.0407916680         517    9.1512908428
    5    109.1042052794      2.4701666667     98.6409985775     14.5004463196      0.0034381747      0.0669583380         628    9.2067385012
    6    111.6405611394      2.2339166667    110.9704508669     13.0966901779      0.0061625559      0.0976666659         737    9.1807166449
    7    111.6756589654      2.0554166667    121.6795629308     11.6706647873      0.0095063169      0.1264166534         690    9.1662570134
    8    107.4375739357      1.9115833333    132.0654593512     10.3697414398      0.0137586202      0.1561249942         713    9.1860452381
    9    102.5857509041      1.7991666667    140.9502057238      9.2251768112      0.0183974653      0.1833750010         654    9.0608396812
   10     97.4104324344      1.6900833333    151.2379347379      8.1546792984      0.0246046521      0.2147083282         752    8.9236137262
   11     92.4210287132      1.6057500000    159.8291825574      7.3215675354      0.0307507552      0.2418333292         651    7.6723199659
   12     88.3797470433      1.5289166667    168.4216623172      6.4974536896      0.0376070812      0.2689166665         650    7.6723188114
   13     84.4434537750      1.4603333333    176.3894369808      5.6373434067      0.0447535142      0.2944999933         614    7.6723231983
   14     80.4833946809      1.3950000000    184.3728337158      4.8531494141      0.0526028387      0.3202499747         618    7.6723167334
   15     78.4570783051      1.3392500000    191.8158298367      4.3041973114      0.0603405386      0.3437917233         565    7.6723180818
   16     75.2730178963      1.2825833333    199.5470596432      3.7094225883      0.0689690113      0.3682500124         587    7.6723058814
   17     73.8523491914      1.2341666667    206.4053659253      3.3724212646      0.0772750825      0.3903333247         530    7.6722846106
   18     71.9399239727      1.1888333333    212.8567368669      2.9221220016      0.0853886604      0.4107500017         490    7.6722034988
   19     70.9241861713      1.1450833333    219.2640392793      2.6029272079      0.0940029919      0.4313750267         495    7.6719736782
   20     69.2804745388      1.1043333333    225.3900238821      2.2755117416      0.1023900509      0.4505416751         460    7.6719760351
   21     68.2737410002      1.0654166667    231.3018418825      2.0223598480      0.1109345853      0.4692499638         449    7.6713645845
   22     67.0877213912      1.0267500000    237.2181336950      1.8421483040      0.1198733002      0.4880416989         451    7.6709054888
   23     66.4091211098      0.9923333333    242.5407763235      1.7195184231      0.1282006204      0.5049166679         405    7.6691727955
   24     65.5436693999      0.9616666667    247.2961878338      1.5732116699      0.1358253062      0.5198750496         359    7.6661565234
   25     64.2974270364      0.9244166667    253.1458976928      1.4774894714      0.1455170512      0.5382916927         442    7.6611630290
   26     62.9668855588      0.8936666667    257.9507260699      1.3214130402      0.1537090540      0.5533750057         362    7.6081041138
   27     61.9724223150      0.8640833333    262.6287346443      1.2883217335      0.1619430184      0.5681250095         354    7.5965024641
   28     61.0700978865      0.8351666667    267.2084989343      1.2672033310      0.1702232361      0.5825833082         347    7.5908483971
   29     59.8586901078      0.8067500000    271.6277715172      1.2267634869      0.1785179973      0.5967082977         339    7.5450344399
   30     58.4673755887      0.7773333333    276.2849943813      1.1878867149      0.1873424947      0.6113750935         352    7.3185911830
   31     57.3467369048      0.7504166667    280.5372033566      1.1703515053      0.1956299841      0.6248332858         323    7.3749066972
   32     56.1844849149      0.7266666667    284.3419114954      1.1313621998      0.2030690759      0.6366666555         284    4.8596965744
   33     54.8856096009      0.7000000000    288.5932923449      1.1153781414      0.2116185576      0.6499999762         320    4.8596965744
   34     53.7443633807      0.6771666667    292.1969871135      1.0998098850      0.2190827876      0.6614166498         274    4.8596965744
   35     52.4054339508      0.6526666667    296.0639782527      1.0742945671      0.2272357941      0.6736667156         294    4.8596965744
   36     51.0880299627      0.6304166667    299.6108369425      1.0584518909      0.2347711623      0.6847916842         267    4.8596965744
   37     49.7212044957      0.6071666667    303.3638702845      1.0425171852      0.2427791953      0.6964166760         279    4.8596965744
   38     48.6125274400      0.5876666667    306.5190153726      1.0171606541      0.2495996058      0.7061667442         234    4.8596965744
   39     47.4665739040      0.5676666667    309.6595262795      1.0094585419      0.2566945553      0.7161667347         240    4.8596965744
   40     46.1621775772      0.5465000000    313.0237488626      0.9907841682      0.2643131316      0.7267500162         254    4.8596965744
   41     44.9737338093      0.5281666667    315.9666326067      0.9737656116      0.2710015178      0.7359166145         220    4.8596965744
   42     43.6818793953      0.5090833333    319.0026270337      0.9552383423      0.2780559957      0.7454583645         229    4.8596965744
   43     42.6145379347      0.4926666667    321.5978150840      0.9388649464      0.2841947079      0.7536666989         197    4.8596965744
   44     41.2983348134      0.4740000000    324.5480540799      0.9249386787      0.2912622690      0.7630000114         224    4.8596965744
   45     40.2803191772      0.4595000000    326.8898735731      0.9024975300      0.2968095243      0.7702499628         174    4.8596965744
   46     39.2624632063      0.4441666667    329.3351711326      0.8950145245      0.3027337790      0.7779167295         184    4.8596965744
   47     38.2044841532      0.4290000000    331.7564564743      0.8772485256      0.3086533844      0.7855000496         182    4.8596965744
   48     37.0426297402      0.4140000000    334.1257566428      0.8616397381      0.3145642281      0.7930000424         180    4.8596965744
   49     36.0842584762      0.4012500000    336.1392106988      0.8504786491      0.3196324706      0.7993750572         153    4.8596965744
   50     34.9574360144      0.3860000000    338.5835212097      0.8383927345      0.3257485032      0.8069999814         183    4.8596965744
   51     34.0384656334      0.3735833333    340.5948299917      0.8200774193      0.3307719827      0.8132082820         149    4.8596965744
   52     33.0038283169      0.3600000000    342.7708676274      0.8063297272      0.3363113701      0.8199999928         163    4.8596965744
   53     32.1184423492      0.3490833333    344.4965091533      0.7921404839      0.3407976627      0.8254582882         131    4.8596965744
   54     31.2180888270      0.3380833333    346.2047114357      0.7815871239      0.3453478515      0.8309583068         132    4.8596965744
   55     30.3317192567      0.3262500000    348.1085170187      0.7674794197      0.3502768874      0.8368749619         142    4.8596965744
   56     29.4574428875      0.3152500000    349.8519768417      0.7543776035      0.3548898101      0.8423749208         132    4.8596965744
   57     28.5895783589      0.3040000000    351.5997364185      0.7425353527      0.3596381843      0.8480000496         135    4.8596965744
   58     27.5026495980      0.2914166667    353.5780137690      0.7237484455      0.3649851084      0.8542917371         151    4.8596965744
   59     26.7122834833      0.2819166667    355.0915130628      0.7155234814      0.3690485358      0.8590416908         114    4.8596965744
   60     25.9402120607      0.2721666667    356.6528114977      0.7040028572      0.3732436895      0.8639167547         117    4.8596965744
