# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1     14.7248966392      4.3798333333     27.0062833250      8.3706588745      0.0002610948      0.0012916666          31    6.7873808348
    2     26.4859344198      3.1880000000     44.6548728318      8.3824062347      0.0011521210      0.0194583330         436    7.2937892355
    3     35.2405859700      2.6055000000     57.8996522504      7.0836219788      0.0030576882      0.0516249985         772    7.4960679225
    4     39.2044951455      2.2363333333     70.1141591299      5.8798971176      0.0067553977      0.0954999998        1053    7.4349515851
    5     41.2482641668      1.9940833333     80.1687646019      5.1367440224      0.0119721089      0.1382083297        1025    7.3192545272
    6     41.8835586874      1.8113333333     89.3467678228      4.4090290070      0.0187812168      0.1806250066        1018    6.8950666213
    7     41.8937587650      1.6715833333     97.6519019247      3.8240375519      0.0266828351      0.2202916741         952    6.8230099511
    8     41.7423901145      1.5490833333    106.1486897518      3.3004455566      0.0365916118      0.2619583309        1000    6.8230715050
    9     41.6440569803      1.4465833333    113.8360150862      2.8256244659      0.0470827371      0.2998333275         909    6.8229669301
   10     41.4206054197      1.3601666667    120.8621632972      2.4433121681      0.0581146590      0.3350833356         846    6.8230170665
   11     41.4160817981      1.2786666667    127.9209056600      2.1034216881      0.0703565329      0.3702916503         845    6.8228889068
   12     41.3179027416      1.2089166667    134.3257911046      1.8032045364      0.0822945535      0.4016250074         752    6.8227015283
   13     40.9286049017      1.1385833333    141.0228437705      1.5671038628      0.0960037857      0.4347916245         796    6.8224991027
   14     40.8833518155      1.0840000000    146.3039203914      1.4161844254      0.1075749397      0.4609166384         627    6.8220011317
   15     40.5834987937      1.0277500000    151.8192650485      1.2934284210      0.1203790158      0.4881666601         654    6.8207891660
   16     39.7057908551      0.9703333333    157.5457786534      1.1875164509      0.1343546212      0.5162500143         674    6.8186198141
   17     38.8733892530      0.9192500000    162.5485628211      1.0108704567      0.1474060714      0.5411249399         597    6.8121629159
   18     37.9612013312      0.8725000000    167.2920076340      0.9193365574      0.1600432992      0.5641666651         553    6.7826900037
   19     37.0030397738      0.8280000000    171.8211742302      0.8608162403      0.1726826727      0.5862916112         531    6.7494202939
   20     36.1997076184      0.7882500000    175.8435072120      0.8363666534      0.1844213605      0.6060833335         475    6.7386083916
   21     35.2562668582      0.7495833333    179.7908794062      0.8174262047      0.1962535977      0.6254166365         464    6.7610948929
   22     34.0262207435      0.7093333333    183.7750437362      0.7963190079      0.2089424133      0.6455000639         482    6.7260419011
   23     32.8007280642      0.6725000000    187.4743490851      0.7228293419      0.2208689004      0.6637916565         439    6.2268660706
   24     31.6155958467      0.6357500000    191.2235387659      0.7036077976      0.2331930101      0.6821666360         441    6.2805360314
   25     30.3847864679      0.6015833333    194.7271877823      0.6639866829      0.2449095398      0.6992082596         409    4.4612433376
   26     29.2775475999      0.5707500000    197.8813706771      0.6523692608      0.2557685375      0.7146250010         370    4.4612433376
   27     28.1071528814      0.5410833333    200.8980111578      0.6304183006      0.2664385438      0.7294583321         356    4.4612433376
   28     26.8929943354      0.5107500000    203.9876960629      0.6163566113      0.2775759101      0.7446250319         364    4.4612433376
   29     25.7964901251      0.4835000000    206.8054138017      0.5994753838      0.2877784967      0.7582499981         327    4.4612433376
   30     24.8425580205      0.4598333333    209.2055915796      0.5823559761      0.2968017459      0.7700834274         284    4.4612433376
   31     23.8131494408      0.4360000000    211.6479017792      0.5595240593      0.3060211241      0.7820000648         286    4.4612433376
   32     22.8771713515      0.4148333333    213.7882093362      0.5540261269      0.3143383265      0.7925833464         254    4.4612433376
   33     21.8760183252      0.3933333333    216.0091088314      0.5398218632      0.3229021728      0.8033332825         258    4.4612433376
   34     20.9691350719      0.3734166667    218.0042596277      0.5202925205      0.3309379816      0.8132915497         239    4.4612433376
   35     20.0686657877      0.3546666667    219.9130006662      0.5096704960      0.3385875225      0.8226666451         225    4.4612433376
   36     19.1679506038      0.3356666667    221.8329996659      0.4958591461      0.3464413881      0.8321665525         228    4.4612433376
   37     18.3620550744      0.3182500000    223.6158798443      0.4860837460      0.3537083864      0.8408747911         209    4.4612433376
   38     17.4923623719      0.3010000000    225.3898564107      0.4679961205      0.3609853983      0.8494998217         207    4.4612433376
   39     16.6937547520      0.2855833333    226.9318803876      0.4565536976      0.3675524592      0.8572082520         185    4.4612433376
   40     15.9383874962      0.2707500000    228.4326903101      0.4475202560      0.3739264011      0.8646248579         178    4.4612433376
   41     15.2794274061      0.2575000000    229.7747750080      0.4330573082      0.3796624541      0.8712498546         159    4.4612433376
   42     14.5369123275      0.2435833333    231.1785502005      0.4205698967      0.3857372403      0.8782082796         167    4.4612433376
