# time     av_coherence           domains   magnetization^2        coh_avrho   purity_avrho  prob_equireached  arrival_counts  log10_nonzeros
    1     14.5475391048      4.4195000000     21.4894779614      7.9727039337      0.0002822869      0.0004583334          11    6.7732886953
    2     24.3267325306      3.3302500000     33.8847760881      7.7105827332      0.0009758205      0.0078750001         178    7.2903290078
    3     29.8115569527      2.8155833333     43.4280656785      6.4274530411      0.0019548328      0.0250416659         412    7.4825006875
    4     33.7148535185      2.5145833333     51.2877838846      5.5747952461      0.0031870396      0.0455416664         492    7.5174879255
    5     36.0397279299      2.3040833333     58.0973942211      4.9823851585      0.0048222360      0.0682500005         545    7.4681378879
    6     37.1573095232      2.1341666667     64.8441410107      4.5152029991      0.0071841152      0.0947083309         635    7.4374145838
    7     37.2256716587      1.9978333333     70.8291051210      4.1154613495      0.0100506889      0.1202083379         612    7.3895585624
    8     37.5537545267      1.8938333333     76.4522840474      3.8112983704      0.0132525526      0.1442083418         576    7.1651335268
    9     36.4548896573      1.7944166667     81.9153067606      3.4391474724      0.0172686689      0.1697500050         613    6.9805367032
   10     35.6912009034      1.7097500000     87.1659839310      3.0817046165      0.0217072777      0.1943750083         591    6.8230271845
   11     35.4112589782      1.6392500000     92.0700491808      2.8423991203      0.0265295245      0.2181250006         570    6.8230676541
   12     35.3800137639      1.5791666667     96.4672169148      2.6352653503      0.0315214396      0.2402916551         532    6.8230654348
   13     35.4978471371      1.5251666667    100.7459992029      2.4720697403      0.0366791859      0.2612500191         503    6.8230500959
   14     35.2774793369      1.4736666667    104.7402998280      2.2500462532      0.0419819616      0.2811250091         477    6.8230680457
   15     35.0517833571      1.4247500000    108.9002563227      2.0640983582      0.0477750599      0.3013750017         486    6.8229786160
   16     34.9665079264      1.3809166667    112.7096571427      1.9096109867      0.0534657985      0.3199999928         447    6.8229207054
   17     34.8745855374      1.3416666667    116.1524464325      1.7325196266      0.0588953197      0.3367916942         403    6.8226857192
   18     34.8125532676      1.3000000000    120.0088677580      1.5679283142      0.0652387440      0.3554166555         447    6.8225879124
   19     34.9823661561      1.2628333333    123.6067973988      1.4993877411      0.0715731606      0.3730833530         424    6.8220896507
   20     35.0015144755      1.2271666667    127.0388682321      1.4044787884      0.0779213607      0.3899583220         405    6.8214150641
   21     35.1573735307      1.1945000000    130.2459743339      1.2875125408      0.0839391276      0.4052916765         368    6.8207235473
   22     34.9033538817      1.1624166667    133.4019335962      1.1490395069      0.0900860131      0.4203750193         362    6.8183970036
   23     35.1218999585      1.1356666667    136.1062551826      1.1115508080      0.0956183150      0.4335000217         315    6.8198393527
   24     35.0907730049      1.1042500000    139.3424328475      1.0743327141      0.1023549587      0.4489583373         371    6.8057447829
   25     35.2192250620      1.0765000000    142.1985480522      1.0270559788      0.1084885001      0.4625833631         327    6.8126400660
   26     35.1638683520      1.0516666667    144.7394356852      0.9652781487      0.1141122803      0.4747083187         291    6.7963254792
   27     35.0309381791      1.0258333333    147.4433423407      0.9559860229      0.1202217788      0.4875416756         308    6.7856246992
   28     35.0459870458      0.9997500000    150.1294061338      0.9348449707      0.1265834868      0.5005416870         312    6.7935638920
