# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004427391      0.0000000298      0.0000000000
    3      1.0000000596      5.5454548760      0.0004036806      0.0000000596      0.0000000000
    4      1.0000000894      5.1628792495      0.0004328543      0.0000000894      0.0000000000
    5      1.0000001192      4.8377531020      0.0004954126      0.0000001192      0.0000000000
    6      1.0000001490      4.5588706288      0.0005829650      0.0000001490      0.0000000000
    7      1.0000001788      4.3175249724      0.0006921898      0.0000001788      0.0000676407
    8      1.0000002086      4.1069037617      0.0008210517      0.0000002086      0.0002925806
    9      1.0000002384      3.9216390403      0.0009677577      0.0000002384      0.0007546435
   10      1.0000002682      3.7574705850      0.0011304835      0.0000002682      0.0015117500
   11      1.0000002980      3.6109928262      0.0013073979      0.0000002980      0.0025989814
   12      1.0000003278      3.4794636568      0.0014967991      0.0000003278      0.0040321769
   13      1.0000003576      3.3606592461      0.0016972567      0.0000003576      0.0058126261
   14      1.0000003874      3.2527632005      0.0019077087      0.0000003874      0.0079314013
   15      1.0000004172      3.1542814847      0.0021275018      0.0000004172      0.0103728623
   16      1.0000004470      3.0639767496      0.0023563829      0.0000004470      0.0131173014
   17      1.0000004768      2.9808173547      0.0025944597      0.0000004768      0.0161428525
   18      1.0000005066      2.9039375670      0.0028421410      0.0000005066      0.0194268202
   19      1.0000005364      2.8326063077      0.0031000727      0.0000005364      0.0229465778
   20      1.0000005662      2.7662024654      0.0033690728      0.0000005662      0.0266801516
   21      1.0000005960      2.7041952845      0.0036500738      0.0000005960      0.0306065816
   22      1.0000006258      2.6461286929      0.0039440717      0.0000006258      0.0347061290
   23      1.0000006557      2.5916087063      0.0042520844      0.0000006557      0.0389603761
   24      1.0000006855      2.5402932465      0.0045751182      0.0000006855      0.0433522552
   25      1.0000007153      2.4918838658      0.0049141418      0.0000007153      0.0478660313
   26      1.0000007451      2.4461189821      0.0052700672      0.0000007451      0.0524872540
   27      1.0000007749      2.4027683202      0.0056437362      0.0000007749      0.0572026922
   28      1.0000008047      2.3616283200      0.0060359116      0.0000008047      0.0620002589
   29      1.0000008345      2.3225183231      0.0064472719      0.0000008345      0.0668689314
   30      1.0000008643      2.2852773919      0.0068784090      0.0000008643      0.0717986716
   31      1.0000008941      2.2497616420      0.0073298286      0.0000008941      0.0767803474
   32      1.0000009239      2.2158419957      0.0078019517      0.0000009239      0.0818056579
   33      1.0000009537      2.1834022818      0.0082951176      0.0000009537      0.0868670626
   34      1.0000009835      2.1523376206      0.0088095880      0.0000009835      0.0919577154
   35      1.0000010133      2.1225530470      0.0093455512      0.0000010133      0.0970714037
   36      1.0000010431      2.0939623313      0.0099031274      0.0000010431      0.1022024915
   37      1.0000010729      2.0664869655      0.0104823732      0.0000010729      0.1073458684
   38      1.0000011027      2.0400552887      0.0110832869      0.0000011027      0.1124969017
   39      1.0000011325      2.0146017311      0.0117058139      0.0000011325      0.1176513942
   40      1.0000011623      1.9900661561      0.0123498508      0.0000011623      0.1228055446
   41      1.0000011921      1.9663932885      0.0130152509      0.0000011921      0.1279559120
   42      1.0000012219      1.9435322144      0.0137018281      0.0000012219      0.1330993839
   43      1.0000012517      1.9214359425      0.0144093617      0.0000012517      0.1382331470
   44      1.0000012815      1.9000610199      0.0151375997      0.0000012815      0.1433546606
   45      1.0000013113      1.8793671920      0.0158862633      0.0000013113      0.1484616329
   46      1.0000013411      1.8593171035      0.0166550499      0.0000013411      0.1535519986
   47      1.0000013709      1.8398760324      0.0174436365      0.0000013709      0.1586239001
   48      1.0000014007      1.8210116549      0.0182516825      0.0000014007      0.1636756687
   49      1.0000014305      1.8026938351      0.0190788327      0.0000014305      0.1687058091
   50      1.0000014603      1.7848944382      0.0199247196      0.0000014603      0.1737129838
   51      1.0000014901      1.7675871629      0.0207889660      0.0000014901      0.1786960005
   52      1.0000015199      1.7507473917      0.0216711865      0.0000015199      0.1836537992
   53      1.0000015497      1.7343520559      0.0225709902      0.0000015497      0.1885854412
   54      1.0000015795      1.7183795142      0.0234879817      0.0000015795      0.1934900991
   55      1.0000016093      1.7028094436      0.0244217629      0.0000016093      0.1983670470
   56      1.0000016391      1.6876227402      0.0253719347      0.0000016391      0.2032156526
   57      1.0000016689      1.6728014294      0.0263380977      0.0000016689      0.2080353687
   58      1.0000016987      1.6583285845      0.0273198538      0.0000016987      0.2128257263
   59      1.0000017285      1.6441882528      0.0283168067      0.0000017285      0.2175863283
   60      1.0000017583      1.6303653880      0.0293285632      0.0000017583      0.2223168428
   61      1.0000017881      1.6168457882      0.0303547338      0.0000017881      0.2270169983
   62      1.0000018179      1.6036160398      0.0313949333      0.0000018179      0.2316865778
   63      1.0000018477      1.5906634653      0.0324487814      0.0000018477      0.2363254147
   64      1.0000018775      1.5779760763      0.0335159032      0.0000018775      0.2409333879
   65      1.0000019074      1.5655425291      0.0345959297      0.0000019074      0.2455104183
   66      1.0000019372      1.5533520847      0.0356884978      0.0000019372      0.2500564648
   67      1.0000019670      1.5413945716      0.0367932512      0.0000019670      0.2545715208
   68      1.0000019968      1.5296603509      0.0379098401      0.0000019968      0.2590556113
   69      1.0000020266      1.5181402848      0.0390379215      0.0000020266      0.2635087897
   70      1.0000020564      1.5068257069      0.0401771594      0.0000020564      0.2679311354
   71      1.0000020862      1.4957083943      0.0413272250      0.0000020862      0.2723227509
   72      1.0000021160      1.4847805426      0.0424877965      0.0000021160      0.2766837601
   73      1.0000021458      1.4740347415      0.0436585592      0.0000021458      0.2810143056
   74      1.0000021756      1.4634639528      0.0448392056      0.0000021756      0.2853145468
   75      1.0000022054      1.4530614896      0.0460294355      0.0000022054      0.2895846585
   76      1.0000022352      1.4428209967      0.0472289553      0.0000022352      0.2938248290
   77      1.0000022650      1.4327364326      0.0484374788      0.0000022650      0.2980352582
   78      1.0000022948      1.4228020524      0.0496547264      0.0000022948      0.3022161568
   79      1.0000023246      1.4130123916      0.0508804255      0.0000023246      0.3063677446
   80      1.0000023544      1.4033622513      0.0521143099      0.0000023544      0.3104902494
   81      1.0000023842      1.3938466841      0.0533561203      0.0000023842      0.3145839057
   82      1.0000024140      1.3844609807      0.0546056034      0.0000024140      0.3186489541
   83      1.0000024438      1.3752006573      0.0558625124      0.0000024438      0.3226856400
   84      1.0000024736      1.3660614442      0.0571266065      0.0000024736      0.3266942128
   85      1.0000025034      1.3570392742      0.0583976510      0.0000025034      0.3306749254
   86      1.0000025332      1.3481302727      0.0596754168      0.0000025332      0.3346280330
   87      1.0000025630      1.3393307474      0.0609596805      0.0000025630      0.3385537929
   88      1.0000025928      1.3306371789      0.0622502244      0.0000025928      0.3424524635
   89      1.0000026226      1.3220462125      0.0635468357      0.0000026226      0.3463243040
   90      1.0000026524      1.3135546491      0.0648493072      0.0000026524      0.3501695741
   91      1.0000026822      1.3051594378      0.0661574365      0.0000026822      0.3539885330
   92      1.0000027120      1.2968576685      0.0674710261      0.0000027120      0.3577814396
   93      1.0000027418      1.2886465643      0.0687898832      0.0000027418      0.3615485514
   94      1.0000027716      1.2805234756      0.0701138196      0.0000027716      0.3652901252
   95      1.0000028014      1.2724858730      0.0714426515      0.0000028014      0.3690064158
   96      1.0000028312      1.2645313420      0.0727761993      0.0000028312      0.3726976762
   97      1.0000028610      1.2566575766      0.0741142876      0.0000028610      0.3763641575
   98      1.0000028908      1.2488623746      0.0754567451      0.0000028908      0.3800061084
   99      1.0000029206      1.2411436321      0.0768034042      0.0000029206      0.3836237750
  100      1.0000029504      1.2334993388      0.0781541011      0.0000029504      0.3872174012
  101      1.0000029802      1.2259275731      0.0795086756      0.0000029802      0.3907872276
  102      1.0000030100      1.2184264983      0.0808669712      0.0000030100      0.3943334923
  103      1.0000030398      1.2109943580      0.0822288344      0.0000030398      0.3978564302
  104      1.0000030696      1.2036294723      0.0835941153      0.0000030696      0.4013562734
  105      1.0000030994      1.1963302341      0.0849626670      0.0000030994      0.4048332505
  106      1.0000031292      1.1890951055      0.0863343458      0.0000031292      0.4082875872
  107      1.0000031591      1.1819226145      0.0877090108      0.0000031591      0.4117195058
  108      1.0000031889      1.1748113519      0.0890865240      0.0000031889      0.4151292254
  109      1.0000032187      1.1677599679      0.0904667503      0.0000032187      0.4185169618
  110      1.0000032485      1.1607671696      0.0918495571      0.0000032485      0.4218829275
  111      1.0000032783      1.1538317181      0.0932348146      0.0000032783      0.4252273316
  112      1.0000033081      1.1469524259      0.0946223955      0.0000033081      0.4285503802
  113      1.0000033379      1.1401281545      0.0960121747      0.0000033379      0.4318522757
  114      1.0000033677      1.1333578118      0.0974040298      0.0000033677      0.4351332175
  115      1.0000033975      1.1266403503      0.0987978404      0.0000033975      0.4383934017
  116      1.0000034273      1.1199747645      0.1001934887      0.0000034273      0.4416330210
  117      1.0000034571      1.1133600892      0.1015908588      0.0000034571      0.4448522652
  118      1.0000034869      1.1067953975      0.1029898369      0.0000034869      0.4480513207
  119      1.0000035167      1.1002797989      0.1043903113      0.0000035167      0.4512303709
  120      1.0000035465      1.0938124377      0.1057921725      0.0000035465      0.4543895962
  121      1.0000035763      1.0873924911      0.1071953126      0.0000035763      0.4575291737
  122      1.0000036061      1.0810191680      0.1085996258      0.0000036061      0.4606492779
  123      1.0000036359      1.0746917071      0.1100050082      0.0000036359      0.4637500800
  124      1.0000036657      1.0684093759      0.1114113574      0.0000036657      0.4668317485
  125      1.0000036955      1.0621714689      0.1128185732      0.0000036955      0.4698944491
  126      1.0000037253      1.0559773068      0.1142265566      0.0000037253      0.4729383447
  127      1.0000037551      1.0498262349      0.1156352107      0.0000037551      0.4759635954
  128      1.0000037849      1.0437176220      0.1170444400      0.0000037849      0.4789703587
  129      1.0000038147      1.0376508595      0.1184541507      0.0000038147      0.4819587895
  130      1.0000038445      1.0316253601      0.1198642504      0.0000038445      0.4849290401
  131      1.0000038743      1.0256405569      0.1212746485      0.0000038743      0.4878812603
  132      1.0000039041      1.0196959026      0.1226852557      0.0000039041      0.4908155975
  133      1.0000039339      1.0137908683      0.1240959841      0.0000039339      0.4937321967
  134      1.0000039637      1.0079249430      0.1255067475      0.0000039637      0.4966312004
  135      1.0000039935      1.0020976323      0.1269174608      0.0000039935      0.4995127491
  136      1.0000040233      0.9963084581      0.1283280405      0.0000040233      0.5023769809
  137      1.0000040531      0.9905569577      0.1297384043      0.0000040531      0.5052240317
  138      1.0000040829      0.9848426828      0.1311484715      0.0000040829      0.5080540354
  139      1.0000041127      0.9791651992      0.1325581624      0.0000041127      0.5108671237
  140      1.0000041425      0.9735240863      0.1339673987      0.0000041425      0.5136634263
  141      1.0000041723      0.9679189358      0.1353761034      0.0000041723      0.5164430711
  142      1.0000042021      0.9623493518      0.1367842007      0.0000042021      0.5192061839
  143      1.0000042319      0.9568149501      0.1381916161      0.0000042319      0.5219528885
  144      1.0000042617      0.9513153574      0.1395982762      0.0000042617      0.5246833073
  145      1.0000042915      0.9458502110      0.1410041089      0.0000042915      0.5273975605
  146      1.0000043213      0.9404191585      0.1424090431      0.0000043213      0.5300957668
  147      1.0000043511      0.9350218569      0.1438130090      0.0000043511      0.5327780431
  148      1.0000043810      0.9296579726      0.1452159379      0.0000043810      0.5354445047
  149      1.0000044108      0.9243271808      0.1466177622      0.0000044108      0.5380952653
  150      1.0000044406      0.9190291651      0.1480184154      0.0000044406      0.5407304370
  151      1.0000044704      0.9137636172      0.1494178322      0.0000044704      0.5433501304
  152      1.0000045002      0.9085302366      0.1508159481      0.0000045002      0.5459544547
  153      1.0000045300      0.9033287300      0.1522126999      0.0000045300      0.5485435174
  154      1.0000045598      0.8981588113      0.1536080255      0.0000045598      0.5511174250
  155      1.0000045896      0.8930202010      0.1550018636      0.0000045896      0.5536762821
  156      1.0000046194      0.8879126264      0.1563941540      0.0000046194      0.5562201925
  157      1.0000046492      0.8828358205      0.1577848376      0.0000046492      0.5587492584
  158      1.0000046790      0.8777895227      0.1591738563      0.0000046790      0.5612635806
  159      1.0000047088      0.8727734778      0.1605611529      0.0000047088      0.5637632591
  160      1.0000047386      0.8677874362      0.1619466711      0.0000047386      0.5662483922
  161      1.0000047684      0.8628311534      0.1633303557      0.0000047684      0.5687190774
  162      1.0000047982      0.8579043899      0.1647121525      0.0000047982      0.5711754108
  163      1.0000048280      0.8530069111      0.1660920080      0.0000048280      0.5736174877
  164      1.0000048578      0.8481384871      0.1674698698      0.0000048578      0.5760454019
  165      1.0000048876      0.8432988920      0.1688456865      0.0000048876      0.5784592463
  166      1.0000049174      0.8384879046      0.1702194073      0.0000049174      0.5808591130
  167      1.0000049472      0.8337053076      0.1715909827      0.0000049472      0.5832450928
  168      1.0000049770      0.8289508875      0.1729603637      0.0000049770      0.5856172756
  169      1.0000050068      0.8242244347      0.1743275024      0.0000050068      0.5879757503
  170      1.0000050366      0.8195257431      0.1756923518      0.0000050366      0.5903206050
  171      1.0000050664      0.8148546103      0.1770548655      0.0000050664      0.5926519266
  172      1.0000050962      0.8102108370      0.1784149982      0.0000050962      0.5949698015
  173      1.0000051260      0.8055942272      0.1797727054      0.0000051260      0.5972743148
  174      1.0000051558      0.8010045880      0.1811279434      0.0000051558      0.5995655511
  175      1.0000051856      0.7964417295      0.1824806692      0.0000051856      0.6018435939
  176      1.0000052154      0.7919054647      0.1838308407      0.0000052154      0.6041085261
  177      1.0000052452      0.7873956092      0.1851784167      0.0000052452      0.6063604296
  178      1.0000052750      0.7829119814      0.1865233566      0.0000052750      0.6085993857
  179      1.0000053048      0.7784544024      0.1878656208      0.0000053048      0.6108254747
  180      1.0000053346      0.7740226956      0.1892051702      0.0000053346      0.6130387765
  181      1.0000053644      0.7696166868      0.1905419668      0.0000053644      0.6152393699
  182      1.0000053942      0.7652362042      0.1918759731      0.0000053942      0.6174273332
  183      1.0000054240      0.7608810782      0.1932071524      0.0000054240      0.6196027440
  184      1.0000054538      0.7565511414      0.1945354687      0.0000054538      0.6217656791
  185      1.0000054836      0.7522462285      0.1958608870      0.0000054836      0.6239162147
  186      1.0000055134      0.7479661761      0.1971833726      0.0000055134      0.6260544263
  187      1.0000055432      0.7437108229      0.1985028919      0.0000055432      0.6281803888
  188      1.0000055730      0.7394800095      0.1998194117      0.0000055730      0.6302941764
  189      1.0000056029      0.7352735783      0.2011328997      0.0000056029      0.6323958629
  190      1.0000056327      0.7310913734      0.2024433243      0.0000056327      0.6344855211
  191      1.0000056625      0.7269332408      0.2037506544      0.0000056625      0.6365632235
  192      1.0000056923      0.7227990281      0.2050548597      0.0000056923      0.6386290419
  193      1.0000057221      0.7186885845      0.2063559106      0.0000057221      0.6406830476
  194      1.0000057519      0.7146017607      0.2076537781      0.0000057519      0.6427253112
  195      1.0000057817      0.7105384093      0.2089484338      0.0000057817      0.6447559029
  196      1.0000058115      0.7064983840      0.2102398500      0.0000058115      0.6467748922
  197      1.0000058413      0.7024815401      0.2115279997      0.0000058413      0.6487823482
  198      1.0000058711      0.6984877343      0.2128128564      0.0000058711      0.6507783393
  199      1.0000059009      0.6945168249      0.2140943944      0.0000059009      0.6527629337
  200      1.0000059307      0.6905686711      0.2153725884      0.0000059307      0.6547361987
  201      1.0000059605      0.6866431339      0.2166474137      0.0000059605      0.6566982013
  202      1.0000059903      0.6827400752      0.2179188465      0.0000059903      0.6586490080
  203      1.0000060201      0.6788593583      0.2191868633      0.0000060201      0.6605886848
  204      1.0000060499      0.6750008478      0.2204514412      0.0000060499      0.6625172972
  205      1.0000060797      0.6711644093      0.2217125581      0.0000060797      0.6644349102
  206      1.0000061095      0.6673499097      0.2229701921      0.0000061095      0.6663415885
  207      1.0000061393      0.6635572170      0.2242243223      0.0000061393      0.6682373960
  208      1.0000061691      0.6597862003      0.2254749280      0.0000061691      0.6701223966
  209      1.0000061989      0.6560367299      0.2267219892      0.0000061989      0.6719966533
  210      1.0000062287      0.6523086769      0.2279654864      0.0000062287      0.6738602290
  211      1.0000062585      0.6486019137      0.2292054007      0.0000062585      0.6757131859
  212      1.0000062883      0.6449163136      0.2304417136      0.0000062883      0.6775555861
  213      1.0000063181      0.6412517510      0.2316744073      0.0000063181      0.6793874910
  214      1.0000063479      0.6376081011      0.2329034643      0.0000063479      0.6812089617
  215      1.0000063777      0.6339852402      0.2341288678      0.0000063777      0.6830200587
  216      1.0000064075      0.6303830456      0.2353506013      0.0000064075      0.6848208425
  217      1.0000064373      0.6268013953      0.2365686490      0.0000064373      0.6866113727
  218      1.0000064671      0.6232401685      0.2377829955      0.0000064671      0.6883917090
  219      1.0000064969      0.6196992451      0.2389936259      0.0000064969      0.6901619103
  220      1.0000065267      0.6161785059      0.2402005256      0.0000065267      0.6919220352
  221      1.0000065565      0.6126778326      0.2414036807      0.0000065565      0.6936721422
  222      1.0000065863      0.6091971078      0.2426030777      0.0000065863      0.6954122891
  223      1.0000066161      0.6057362148      0.2437987035      0.0000066161      0.6971425334
  224      1.0000066459      0.6022950379      0.2449905454      0.0000066459      0.6988629323
  225      1.0000066757      0.5988734621      0.2461785913      0.0000066757      0.7005735427
  226      1.0000067055      0.5954713732      0.2473628295      0.0000067055      0.7022744209
  227      1.0000067353      0.5920886578      0.2485432485      0.0000067353      0.7039656230
  228      1.0000067651      0.5887252033      0.2497198376      0.0000067651      0.7056472047
  229      1.0000067950      0.5853808979      0.2508925862      0.0000067950      0.7073192215
  230      1.0000068248      0.5820556304      0.2520614843      0.0000068248      0.7089817284
  231      1.0000068546      0.5787492906      0.2532265222      0.0000068546      0.7106347799
  232      1.0000068844      0.5754617688      0.2543876907      0.0000068844      0.7122784305
  233      1.0000069142      0.5721929561      0.2555449808      0.0000069142      0.7139127342
  234      1.0000069440      0.5689427444      0.2566983841      0.0000069440      0.7155377447
  235      1.0000069738      0.5657110262      0.2578478926      0.0000069738      0.7171535152
  236      1.0000070036      0.5624976947      0.2589934984      0.0000070036      0.7187600987
  237      1.0000070334      0.5593026439      0.2601351943      0.0000070334      0.7203575481
  238      1.0000070632      0.5561257684      0.2612729733      0.0000070632      0.7219459156
  239      1.0000070930      0.5529669634      0.2624068288      0.0000070930      0.7235252532
  240      1.0000071228      0.5498261250      0.2635367544      0.0000071228      0.7250956127
  241      1.0000071526      0.5467031498      0.2646627443      0.0000071526      0.7266570456
  242      1.0000071824      0.5435979349      0.2657847929      0.0000071824      0.7282096028
  243      1.0000072122      0.5405103784      0.2669028950      0.0000072122      0.7297533352
  244      1.0000072420      0.5374403788      0.2680170458      0.0000072420      0.7312882933
  245      1.0000072718      0.5343878353      0.2691272406      0.0000072718      0.7328145273
  246      1.0000073016      0.5313526477      0.2702334751      0.0000073016      0.7343320870
  247      1.0000073314      0.5283347164      0.2713357456      0.0000073314      0.7358410220
  248      1.0000073612      0.5253339424      0.2724340484      0.0000073612      0.7373413816
  249      1.0000073910      0.5223502275      0.2735283802      0.0000073910      0.7388332148
  250      1.0000074208      0.5193834740      0.2746187380      0.0000074208      0.7403165703
  251      1.0000074506      0.5164335845      0.2757051192      0.0000074506      0.7417914965
  252      1.0000074804      0.5135004627      0.2767875213      0.0000074804      0.7432580416
  253      1.0000075102      0.5105840125      0.2778659422      0.0000075102      0.7447162533
  254      1.0000075400      0.5076841385      0.2789403802      0.0000075400      0.7461661792
  255      1.0000075698      0.5048007461      0.2800108338      0.0000075698      0.7476078666
  256      1.0000075996      0.5019337408      0.2810773016      0.0000075996      0.7490413626
  257      1.0000076294      0.4990830291      0.2821397827      0.0000076294      0.7504667137
  258      1.0000076592      0.4962485178      0.2831982764      0.0000076592      0.7518839666
  259      1.0000076890      0.4934301143      0.2842527822      0.0000076890      0.7532931672
  260      1.0000077188      0.4906277268      0.2853033000      0.0000077188      0.7546943616
  261      1.0000077486      0.4878412637      0.2863498298      0.0000077486      0.7560875954
  262      1.0000077784      0.4850706342      0.2873923720      0.0000077784      0.7574729139
  263      1.0000078082      0.4823157477      0.2884309271      0.0000078082      0.7588503622
  264      1.0000078380      0.4795765147      0.2894654960      0.0000078380      0.7602199852
  265      1.0000078678      0.4768528456      0.2904960797      0.0000078678      0.7615818275
  266      1.0000078976      0.4741446518      0.2915226795      0.0000078976      0.7629359334
  267      1.0000079274      0.4714518450      0.2925452969      0.0000079274      0.7642823469
  268      1.0000079573      0.4687743374      0.2935639337      0.0000079573      0.7656211118
  269      1.0000079871      0.4661120419      0.2945785918      0.0000079871      0.7669522718
  270      1.0000080169      0.4634648718      0.2955892734      0.0000080169      0.7682758700
  271      1.0000080467      0.4608327408      0.2965959811      0.0000080467      0.7695919495
  272      1.0000080765      0.4582155632      0.2975987173      0.0000080765      0.7709005532
  273      1.0000081063      0.4556132539      0.2985974849      0.0000081063      0.7722017236
  274      1.0000081361      0.4530257282      0.2995922869      0.0000081361      0.7734955030
  275      1.0000081659      0.4504529018      0.3005831267      0.0000081659      0.7747819334
  276      1.0000081957      0.4478946911      0.3015700076      0.0000081957      0.7760610566
  277      1.0000082255      0.4453510128      0.3025529332      0.0000082255      0.7773329143
  278      1.0000082553      0.4428217841      0.3035319074      0.0000082553      0.7785975478
  279      1.0000082851      0.4403069229      0.3045069342      0.0000082851      0.7798549982
  280      1.0000083149      0.4378063473      0.3054780177      0.0000083149      0.7811053062
  281      1.0000083447      0.4353199761      0.3064451625      0.0000083447      0.7823485127
  282      1.0000083745      0.4328477283      0.3074083729      0.0000083745      0.7835846579
  283      1.0000084043      0.4303895237      0.3083676538      0.0000084043      0.7848137820
