# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004195517      0.6617966358      0.0000000000
    4      1.0000000894      5.1633001249      0.0004499437      0.7350816246      0.0000000000
    5      1.0000001192      4.8391034108      0.0005161424      0.6889757705      0.0000000000
    6      1.0000001490      4.5616355469      0.0006085844      0.6805309104      0.0000000000
    7      1.0000001788      4.3221374447      0.0007236381      0.6434901775      0.0000676407
    8      1.0000002086      4.1137422245      0.0008589992      0.6122512067      0.0002670165
    9      1.0000002384      3.9310315593      0.0010125060      0.5814850672      0.0006515012
   10      1.0000002682      3.7696992221      0.0011818389      0.5544459577      0.0012565563
   11      1.0000002980      3.6262970232      0.0013645595      0.5299160617      0.0021027226
   12      1.0000003278      3.4980428820      0.0015582674      0.5088774068      0.0031983167
   13      1.0000003576      3.3826753629      0.0017607639      0.4899457324      0.0045428715
   14      1.0000003874      3.2783428778      0.0019701705      0.4738699583      0.0061297543
   15      1.0000004172      3.1835187898      0.0021849915      0.4603164293      0.0079483103
   16      1.0000004470      3.0969359356      0.0024041285      0.4483276415      0.0099854081
   17      1.0000004768      3.0175357835      0.0026268600      0.4381487781      0.0122265729
   18      1.0000005066      2.9444286832      0.0028528006      0.4291459304      0.0146567752
   19      1.0000005364      2.8768625761      0.0030818495      0.4211075224      0.0172609772
   20      1.0000005662      2.8141982013      0.0033141366      0.4136845371      0.0200244949
   21      1.0000005960      2.7558893199      0.0035499710      0.4066076520      0.0229332327
   22      1.0000006258      2.7014668446      0.0037897941      0.3998286193      0.0259738239
   23      1.0000006557      2.6505260241      0.0040341398      0.3931315799      0.0291337081
   24      1.0000006855      2.6027160360      0.0042836001      0.3865245650      0.0324011617
   25      1.0000007153      2.5577314871      0.0045387976      0.3800527739      0.0357652997
   26      1.0000007451      2.5153054345      0.0048003638      0.3739046949      0.0392160551
   27      1.0000007749      2.4752036270      0.0050689221      0.3678625172      0.0427441467
   28      1.0000008047      2.4372197278      0.0053450746      0.3618847746      0.0463410380
   29      1.0000008345      2.4011713354      0.0056293932      0.3561104220      0.0499988919
   30      1.0000008643      2.3668966520      0.0059224128      0.3504611490      0.0537105241
   31      1.0000008941      2.3342516833      0.0062246273      0.3449509723      0.0574693553
   32      1.0000009239      2.3031078743      0.0065364871      0.3395275589      0.0612693662
   33      1.0000009537      2.2733501063      0.0068583977      0.3341640468      0.0651050524
   34      1.0000009835      2.2448749926      0.0071907206      0.3288960863      0.0689713830
   35      1.0000010133      2.2175894228      0.0075337730      0.3237255459      0.0728637616
   36      1.0000010431      2.1914093159      0.0078878300      0.3186266428      0.0767779891
   37      1.0000010729      2.1662585485      0.0082531263      0.3136011894      0.0807102303
   38      1.0000011027      2.1420680296      0.0086298578      0.3086562951      0.0846569824
   39      1.0000011325      2.1187749008      0.0090181843      0.3038021021      0.0886150464
   40      1.0000011623      2.0963218414      0.0094182316      0.2990509667      0.0925815007
   41      1.0000011921      2.0746564645      0.0098300940      0.2944060676      0.0965536771
   42      1.0000012219      2.0537307888      0.0102538363      0.2898677457      0.1005291388
   43      1.0000012517      2.0335007777      0.0106894966      0.2854374479      0.1045056606
   44      1.0000012815      2.0139259334      0.0111370877      0.2811227431      0.1084812100
   45      1.0000013113      1.9949689415      0.0115966002      0.2769291137      0.1124539317
   46      1.0000013411      1.9765953560      0.0120680036      0.2728509631      0.1164221314
   47      1.0000013709      1.9587733222      0.0125512485      0.2688891314      0.1203842630
   48      1.0000014007      1.9414733307      0.0130462687      0.2650460710      0.1243389154
   49      1.0000014305      1.9246679988      0.0135529822      0.2613172281      0.1282848017
   50      1.0000014603      1.9083318770      0.0140712934      0.2577020218      0.1322207488
   51      1.0000014901      1.8924412750      0.0146010942      0.2542004374      0.1361456879
   52      1.0000015199      1.8769741078      0.0151422652      0.2508107332      0.1400586457
   53      1.0000015497      1.8619097570      0.0156946773      0.2475295483      0.1439587375
   54      1.0000015795      1.8472289470      0.0162581927      0.2443542209      0.1478451593
   55      1.0000016093      1.8329136331      0.0168326659      0.2412824861      0.1517171815
   56      1.0000016391      1.8189469017      0.0174179449      0.2383130379      0.1555741436
   57      1.0000016689      1.8053128795      0.0180138716      0.2354423850      0.1594154480
   58      1.0000016987      1.7919966523      0.0186202834      0.2326681682      0.1632405557
   59      1.0000017285      1.7789841907      0.0192370133      0.2299869817      0.1670489815
   60      1.0000017583      1.7662622832      0.0198638908      0.2273959335      0.1708402899
   61      1.0000017881      1.7538184759      0.0205007429      0.2248921460      0.1746140917
   62      1.0000018179      1.7416410168      0.0211473941      0.2224727348      0.1783700400
   63      1.0000018477      1.7297188057      0.0218036674      0.2201347191      0.1821078271
   64      1.0000018775      1.7180413484      0.0224693846      0.2178755115      0.1858271821
   65      1.0000019074      1.7065987148      0.0231443667      0.2156920354      0.1895278676
   66      1.0000019372      1.6953815005      0.0238284346      0.2135813068      0.1932096775
   67      1.0000019670      1.6843807919      0.0245214091      0.2115407761      0.1968724345
   68      1.0000019968      1.6735881338      0.0252231114      0.2095679040      0.2005159883
   69      1.0000020266      1.6629955000      0.0259333635      0.2076609258      0.2041402134
   70      1.0000020564      1.6525952663      0.0266519883      0.2058160212      0.2077450072
   71      1.0000020862      1.6423801847      0.0273788100      0.2040306712      0.2113302886
   72      1.0000021160      1.6323433611      0.0281136542      0.2023024119      0.2148959961
   73      1.0000021458      1.6224782337      0.0288563482      0.2006288403      0.2184420868
