# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004116992      0.6641415133      0.0000000000
    4      1.0000000894      5.1624583740      0.0004363300      0.6377165966      0.0000000000
    5      1.0000001192      4.8363852567      0.0004961090      0.6189933237      0.0000000000
    6      1.0000001490      4.5560560240      0.0005809161      0.5448971836      0.0000000000
    7      1.0000001788      4.3128358084      0.0006871103      0.4910244746      0.0000676407
    8      1.0000002086      4.0999925019      0.0008127566      0.4453410393      0.0003181446
    9      1.0000002384      3.9122323621      0.0009563706      0.4041433951      0.0008666813
   10      1.0000002682      3.7453593570      0.0011165770      0.3736832454      0.0017988061
   11      1.0000002980      3.5960222383      0.0012921314      0.3507529919      0.0031637710
   12      1.0000003278      3.4615247577      0.0014820641      0.3316710524      0.0049799976
   13      1.0000003576      3.3396819597      0.0016858043      0.3169403897      0.0072437040
   14      1.0000003874      3.2287105139      0.0019032351      0.3040852884      0.0099366801
   15      1.0000004172      3.1271444665      0.0021346816      0.2932303746      0.0130322096
   16      1.0000004470      3.0337701495      0.0023808545      0.2833113989      0.0164992264
   17      1.0000004768      2.9475756364      0.0026427713      0.2750516567      0.0203050716
   18      1.0000005066      2.8677113088      0.0029216721      0.2675708121      0.0244172310
   19      1.0000005364      2.7934589518      0.0032189394      0.2608668600      0.0288043774
   20      1.0000005662      2.7242074191      0.0035360278      0.2545580912      0.0334369535
   21      1.0000005960      2.6594333765      0.0038744055      0.2485833469      0.0382874611
   22      1.0000006258      2.5986859822      0.0042355075      0.2429098772      0.0433305640
   23      1.0000006557      2.5415746301      0.0046207001      0.2374649318      0.0485430747
   24      1.0000006855      2.4877590830      0.0050312546      0.2322088360      0.0539038733
   25      1.0000007153      2.4369414812      0.0054683294      0.2270881331      0.0593937877
   26      1.0000007451      2.3888598270      0.0059329588      0.2221537581      0.0649954561
   27      1.0000007749      2.3432826386      0.0064260470      0.2173125734      0.0706931825
   28      1.0000008047      2.3000045371      0.0069483663      0.2126545236      0.0764727939
   29      1.0000008345      2.2588425800      0.0075005580      0.2081605987      0.0823215024
   30      1.0000008643      2.2196331988      0.0080831367      0.2038030792      0.0882277759
   31      1.0000008941      2.1822296266      0.0086964955      0.1995903955      0.0941812181
   32      1.0000009239      2.1464997271      0.0093409122      0.1955203251      0.1001724578
   33      1.0000009537      2.1123241533      0.0100165570      0.1915996682      0.1061930494
   34      1.0000009835      2.0795947792      0.0107235001      0.1878604530      0.1122353815
   35      1.0000010133      2.0482133588      0.0114617197      0.1842744808      0.1182925954
   36      1.0000010431      2.0180903757      0.0122311096      0.1808442496      0.1243585118
   37      1.0000010729      1.9891440513      0.0130314875      0.1775569469      0.1304275649
   38      1.0000011027      1.9612994882      0.0138626023      0.1744029617      0.1364947432
   39      1.0000011325      1.9344879286      0.0147241416      0.1713804768      0.1425555374
   40      1.0000011623      1.9086461077      0.0156157384      0.1684902265      0.1486058924
   41      1.0000011921      1.8837156917      0.0165369779      0.1657238338      0.1546421655
   42      1.0000012219      1.8596427854      0.0174874037      0.1630727505      0.1606610880
   43      1.0000012517      1.8363775007      0.0184665234      0.1605325051      0.1666597312
   44      1.0000012815      1.8138735779      0.0194738140      0.1580976724      0.1726354756
   45      1.0000013113      1.7920880506      0.0205087268      0.1557641900      0.1785859830
   46      1.0000013411      1.7709809506      0.0215706921      0.1535280547      0.1845091711
   47      1.0000013709      1.7505150460      0.0226591232      0.1513843402      0.1904031910
   48      1.0000014007      1.7306556082      0.0237734201      0.1493289515      0.1962664062
   49      1.0000014305      1.7113702047      0.0249129727      0.1473576210      0.2020973739
   50      1.0000014603      1.6926285132      0.0260771644      0.1454666673      0.2078948272
   51      1.0000014901      1.6744021554      0.0272653741      0.1436520018      0.2136576602
   52      1.0000015199      1.6566645479      0.0284769791      0.1419093321      0.2193849128
   53      1.0000015497      1.6393907668      0.0297113571      0.1402347339      0.2250757578
   54      1.0000015795      1.6225574263      0.0309678878      0.1386254455      0.2307294889
   55      1.0000016093      1.6061425679      0.0322459548      0.1370826861      0.2363455095
   56      1.0000016391      1.5901255600      0.0335449468      0.1355970330      0.2419233226
   57      1.0000016689      1.5744870060      0.0348642589      0.1341652456      0.2474625214
   58      1.0000016987      1.5592086611      0.0362032937      0.1327838959      0.2529627806
   59      1.0000017285      1.5442733547      0.0375614616      0.1314497213      0.2584238492
   60      1.0000017583      1.5296649205      0.0389381824      0.1301596713      0.2638455424
   61      1.0000017881      1.5153681312      0.0403328850      0.1289108802      0.2692277359
   62      1.0000018179      1.5013686386      0.0417450083      0.1277006615      0.2745703593
   63      1.0000018477      1.4876529180      0.0431740014      0.1265453731      0.2798733907
   64      1.0000018775      1.4742082172      0.0446193241      0.1254249057      0.2851368519
   65      1.0000019074      1.4610225083      0.0460804465      0.1243351291      0.2903608036
   66      1.0000019372      1.4480844439      0.0475568498      0.1232739475      0.2955453411
   67      1.0000019670      1.4353833152      0.0490480258      0.1222394043      0.3006905908
   68      1.0000019968      1.4229090142      0.0505534774      0.1212296769      0.3057967064
   69      1.0000020266      1.4106519972      0.0520727179      0.1202430696      0.3108638657
   70      1.0000020564      1.3986032515      0.0536052714      0.1192780073      0.3158922681
   71      1.0000020862      1.3867542640      0.0551506728      0.1183330289      0.3208821313
   72      1.0000021160      1.3750969915      0.0567084670      0.1174074139      0.3258336897
   73      1.0000021458      1.3636238337      0.0582782094      0.1165042569      0.3307471916
