# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004194426      0.6206007772      0.0000000000
    4      1.0000000894      5.1633001249      0.0004498982      0.6542930191      0.0000000000
    5      1.0000001192      4.8391034108      0.0005161768      0.5918579690      0.0000000000
    6      1.0000001490      4.5616370083      0.0006087532      0.5993990696      0.0000000000
    7      1.0000001788      4.3221442123      0.0007240298      0.5693743843      0.0000676407
    8      1.0000002086      4.1137608507      0.0008597292      0.5575625085      0.0002670165
    9      1.0000002384      3.9310712684      0.0010137070      0.5422158435      0.0006513538
   10      1.0000002682      3.7697716935      0.0011836485      0.5313552815      0.0012557649
   11      1.0000002980      3.6264160904      0.0013671075      0.5206953197      0.0021002724
   12      1.0000003278      3.4982241944      0.0015616652      0.5118226618      0.0031925401
   13      1.0000003576      3.3829360336      0.0017650959      0.5035651496      0.0045313770
   14      1.0000003874      3.2787011313      0.0019754867      0.4961638938      0.0061094044
   15      1.0000004172      3.1839936193      0.0021913013      0.4897878233      0.0079152474
   16      1.0000004470      3.0975467786      0.0024113947      0.4846534345      0.0099351125
   17      1.0000004768      3.0183022218      0.0026349936      0.4798087403      0.0121539448
   18      1.0000005066      2.9453701724      0.0028616552      0.4754649093      0.0145562298
   19      1.0000005364      2.8779982073      0.0030912171      0.4713050603      0.0171265446
   20      1.0000005662      2.8155464959      0.0033237437      0.4672776759      0.0198499194
   21      1.0000005960      2.7574680582      0.0035594758      0.4632197835      0.0227120673
   22      1.0000006258      2.7032929258      0.0037987850      0.4590598259      0.0256995170
   23      1.0000006557      2.6526153565      0.0040421345      0.4548349863      0.0287996803
   24      1.0000006855      2.6050834547      0.0042900462      0.4508409887      0.0320008739
   25      1.0000007153      2.5603906963      0.0045430742      0.4468052350      0.0352923101
   26      1.0000007451      2.5182689715      0.0048017835      0.4426947217      0.0386640676
   27      1.0000007749      2.4784828450      0.0050667340      0.4384916293      0.0421070499
   28      1.0000008047      2.4408247955      0.0053384678      0.4342330646      0.0456129365
   29      1.0000008345      2.4051112496      0.0056175010      0.4298905971      0.0491741306
   30      1.0000008643      2.3711792623      0.0059043169      0.4254895536      0.0527837062
   31      1.0000008941      2.3388837257      0.0061993623      0.4210651339      0.0564353554
   32      1.0000009239      2.3080950126      0.0065030449      0.4167880914      0.0601233382
   33      1.0000009537      2.2786969794      0.0068157328      0.4124930903      0.0638424344
   34      1.0000009835      2.2505852654      0.0071377539      0.4081775233      0.0675878987
   35      1.0000010133      2.2236658414      0.0074693971      0.4038101260      0.0713554186
   36      1.0000010431      2.1978537642      0.0078109132      0.3994514513      0.0751410764
   37      1.0000010729      2.1730721061      0.0081625167      0.3951090766      0.0789413128
   38      1.0000011027      2.1492510301      0.0085243879      0.3907622800      0.0827528949
   39      1.0000011325      2.1263269894      0.0088966744      0.3864155504      0.0865728860
   40      1.0000011623      2.1042420323      0.0092794936      0.3820817831      0.0903986188
   41      1.0000011921      2.0829431966      0.0096729348      0.3777642297      0.0942276707
   42      1.0000012219      2.0623819799      0.0100770611      0.3734762216      0.0980578413
   43      1.0000012517      2.0425138763      0.0104919117      0.3692368783      0.1018871320
   44      1.0000012815      2.0232979692      0.0109175034      0.3650468207      0.1057137279
   45      1.0000013113      2.0046965725      0.0113538331      0.3609066005      0.1095359811
   46      1.0000013411      1.9866749141      0.0118008792      0.3568232270      0.1133523951
   47      1.0000013709      1.9692008555      0.0122586034      0.3528028152      0.1171616120
   48      1.0000014007      1.9522446435      0.0127269520      0.3488524773      0.1209623996
   49      1.0000014305      1.9357786895      0.0132058579      0.3449747038      0.1247536401
   50      1.0000014603      1.9197773724      0.0136952413      0.3411719829      0.1285343207
   51      1.0000014901      1.9042168632      0.0141950117      0.3374462242      0.1323035235
   52      1.0000015199      1.8890749676      0.0147050686      0.3337994536      0.1360604180
   53      1.0000015497      1.8743309859      0.0152253025      0.3302335592      0.1398042533
   54      1.0000015795      1.8599655858      0.0157555965      0.3267500449      0.1435343511
   55      1.0000016093      1.8459606894      0.0162958264      0.3233490393      0.1472501000
   56      1.0000016391      1.8322993705      0.0168458623      0.3200308535      0.1509509493
   57      1.0000016689      1.8189657622      0.0174055691      0.3167962141      0.1546364045
   58      1.0000016987      1.8059449732      0.0179748070      0.3136437704      0.1583060223
   59      1.0000017285      1.7932230125      0.0185534326      0.3105727185      0.1619594065
   60      1.0000017583      1.7807867204      0.0191412992      0.3075820391      0.1655962041
   61      1.0000017881      1.7686237065      0.0197382575      0.3046735735      0.1692161021
   62      1.0000018179      1.7567222927      0.0203441559      0.3018602515      0.1728188238
   63      1.0000018477      1.7450714616      0.0209588413      0.2991292596      0.1764041265
   64      1.0000018775      1.7336608095      0.0215821593      0.2964730484      0.1799717984
   65      1.0000019074      1.7224805035      0.0222139547      0.2938899071      0.1835216563
   66      1.0000019372      1.7115212415      0.0228540717      0.2913780859      0.1870535434
   67      1.0000019670      1.7007742168      0.0235023544      0.2889361573      0.1905673272
   68      1.0000019968      1.6902310846      0.0241586470      0.2865625015      0.1940628976
   69      1.0000020266      1.6798839317      0.0248227942      0.2842545869      0.1975401655
   70      1.0000020564      1.6697252486      0.0254946410      0.2820104901      0.2009990607
   71      1.0000020862      1.6597479035      0.0261740337      0.2798283832      0.2044395308
   72      1.0000021160      1.6499451191      0.0268608194      0.2777086964      0.2078615397
   73      1.0000021458      1.6403104500      0.0275548464      0.2756469776      0.2112650664
