# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004120736      0.6703431403      0.0000000000
    4      1.0000000894      5.1624583740      0.0004369264      0.6427696452      0.0000000000
    5      1.0000001192      4.8363779928      0.0004969391      0.6480543142      0.0000000000
    6      1.0000001490      4.5560275740      0.0005820217      0.5830737025      0.0000000000
    7      1.0000001788      4.3127680443      0.0006885161      0.5394594919      0.0000676407
    8      1.0000002086      4.0998653698      0.0008144648      0.5030819133      0.0003181446
    9      1.0000002384      3.9120255175      0.0009583577      0.4675854078      0.0008675993
   10      1.0000002682      3.7450532158      0.0011187936      0.4374320049      0.0018035299
   11      1.0000002980      3.5955986160      0.0012945137      0.4171540065      0.0031774826
   12      1.0000003278      3.4609672479      0.0014845614      0.3986756064      0.0050097798
   13      1.0000003576      3.3389761494      0.0016884141      0.3838954988      0.0072978541
   14      1.0000003874      3.2278440851      0.0019060377      0.3700894924      0.0100240427
   15      1.0000004172      3.1261072103      0.0021378678      0.3577922035      0.0131616358
   16      1.0000004470      3.0325539038      0.0023847431      0.3460895725      0.0166791718
   17      1.0000004768      2.9461741600      0.0026478161      0.3355836175      0.0205433202
   18      1.0000005066      2.8661201055      0.0029284602      0.3265766955      0.0247207293
   19      1.0000005364      2.7916750617      0.0032281821      0.3184729587      0.0291791544
   20      1.0000005662      2.7222291944      0.0035485472      0.3108913136      0.0338881055
   21      1.0000005960      2.6572602587      0.0038911179      0.3039222421      0.0388191812
   22      1.0000006258      2.5963182932      0.0042574063      0.2972408096      0.0439462034
   23      1.0000006557      2.5390133860      0.0046488382      0.2908631621      0.0492452241
   24      1.0000006855      2.4850058356      0.0050667288      0.2846862170      0.0546944548
   25      1.0000007153      2.4339981870      0.0055122660      0.2786813256      0.0602741485
   26      1.0000007451      2.3857287423      0.0059865014      0.2727835540      0.0659664591
   27      1.0000007749      2.3399662377      0.0064903461      0.2670645402      0.0717552903
   28      1.0000008047      2.2965054477      0.0070245706      0.2615018093      0.0776261447
   29      1.0000008345      2.2551635337      0.0075898084      0.2561176500      0.0835659772
   30      1.0000008643      2.2157769916      0.0081865610      0.2509944377      0.0895630562
   31      1.0000008941      2.1781990874      0.0088152046      0.2462889079      0.0956068351
   32      1.0000009239      2.1422976913      0.0094759978      0.2417943760      0.1016878340
   33      1.0000009537      2.1079534402      0.0101690901      0.2374559186      0.1077975323
   34      1.0000009835      2.0750581726      0.0108945298      0.2332687279      0.1139282713
   35      1.0000010133      2.0435135900      0.0116522732      0.2292748783      0.1200731672
   36      1.0000010431      2.0132301077      0.0124421922      0.2254771586      0.1262260331
   37      1.0000010729      1.9841258653      0.0132640833      0.2219286362      0.1323813089
   38      1.0000011027      1.9561258715      0.0141176746      0.2185271902      0.1385339990
   39      1.0000011325      1.9291612633      0.0150026337      0.2152427879      0.1446796173
   40      1.0000011623      1.9031686618      0.0159185745      0.2120727433      0.1508141372
   41      1.0000011921      1.8780896107      0.0168650642      0.2090113379      0.1569339478
   42      1.0000012219      1.8538700858      0.0178416290      0.2060618489      0.1630358147
   43      1.0000012517      1.8304600649      0.0188477602      0.2032056126      0.1691168441
   44      1.0000012815      1.8078131502      0.0198829192      0.2004397754      0.1751744517
   45      1.0000013113      1.7858862357      0.0209465428      0.1977660960      0.1812063341
   46      1.0000013411      1.7646392127      0.0220380471      0.1951846100      0.1872104427
   47      1.0000013709      1.7440347099      0.0231568322      0.1926940928      0.1931849610
   48      1.0000014007      1.7240378619      0.0243022851      0.1902848488      0.1991282828
   49      1.0000014305      1.7046161034      0.0254737837      0.1879558967      0.2050389937
   50      1.0000014603      1.6857389846      0.0266706993      0.1857146269      0.2109158531
   51      1.0000014901      1.6673780063      0.0278923993      0.1835693312      0.2167577782
   52      1.0000015199      1.6495064716      0.0291382493      0.1814922286      0.2225638298
   53      1.0000015497      1.6320993516      0.0304076156      0.1795068594      0.2283331989
   54      1.0000015795      1.6151331644      0.0316998665      0.1775920955      0.2340651943
   55      1.0000016093      1.5985858650      0.0330143739      0.1757361519      0.2397592315
   56      1.0000016391      1.5824367448      0.0343505147      0.1739358820      0.2454148231
   57      1.0000016689      1.5666663403      0.0357076719      0.1721893893      0.2510315688
   58      1.0000016987      1.5512563494      0.0370852355      0.1704930693      0.2566091474
   59      1.0000017285      1.5361895541      0.0384826033      0.1688458948      0.2621473089
   60      1.0000017583      1.5214497500      0.0398991815      0.1672517301      0.2676458676
   61      1.0000017881      1.5070216805      0.0413343854      0.1657086487      0.2731046954
   62      1.0000018179      1.4928909771      0.0427876396      0.1642122605      0.2785237163
   63      1.0000018477      1.4790441028      0.0442583784      0.1627854702      0.2839029006
   64      1.0000018775      1.4654683004      0.0457460462      0.1613984594      0.2892422606
   65      1.0000019074      1.4521515445      0.0472500975      0.1600488545      0.2945418457
   66      1.0000019372      1.4390824965      0.0487699971      0.1587304083      0.2998017384
   67      1.0000019670      1.4262504622      0.0503052200      0.1574409869      0.3050220510
   68      1.0000019968      1.4136453538      0.0518552516      0.1561822231      0.3102029218
   69      1.0000020266      1.4012576525      0.0534195878      0.1549849372      0.3153445126
   70      1.0000020564      1.3890783747      0.0549977344      0.1538247487      0.3204470053
   71      1.0000020862      1.3770990404      0.0565892076      0.1526839952      0.3255106001
   72      1.0000021160      1.3653116426      0.0581935335      0.1515671986      0.3305355127
   73      1.0000021458      1.3537086199      0.0598102484      0.1504691065      0.3355219727
