# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004194141      0.6239169347      0.0000000000
    4      1.0000000894      5.1633001249      0.0004497519      0.6500091304      0.0000000000
    5      1.0000001192      4.8391034108      0.0005158005      0.5708491734      0.0000000000
    6      1.0000001490      4.5616340856      0.0006080052      0.5534834030      0.0000000000
    7      1.0000001788      4.3221306337      0.0007227335      0.5012050344      0.0000676407
    8      1.0000002086      4.1137234367      0.0008576820      0.4665081260      0.0002670165
    9      1.0000002384      3.9309915674      0.0010106892      0.4332725709      0.0006516487
   10      1.0000002682      3.7696265834      0.0011794369      0.4079155949      0.0012573686
   11      1.0000002980      3.6261785696      0.0013614928      0.3851034206      0.0021052907
   12      1.0000003278      3.4978642307      0.0015544717      0.3665520260      0.0032044270
   13      1.0000003576      3.3824214005      0.0017561987      0.3502933889      0.0045550465
   14      1.0000003874      3.2779981934      0.0019648276      0.3375387873      0.0061512125
   15      1.0000004172      3.1830680467      0.0021789021      0.3267207430      0.0079828761
   16      1.0000004470      3.0963641789      0.0023973690      0.3170293669      0.0100373883
   17      1.0000004768      3.0168286858      0.0026195568      0.3086452219      0.0123006226
   18      1.0000005066      2.9435727329      0.0028451334      0.3010236127      0.0147577663
   19      1.0000005364      2.8758452151      0.0030740531      0.2940995109      0.0173938776
   20      1.0000005662      2.8130079178      0.0033065014      0.2876064461      0.0201942651
   21      1.0000005960      2.7545157040      0.0035428427      0.2815417940      0.0231447404
   22      1.0000006258      2.6999006123      0.0037835721      0.2756792629      0.0262317778
   23      1.0000006557      2.6487590165      0.0040292744      0.2700147830      0.0294426075
   24      1.0000006855      2.6007411981      0.0042805896      0.2644482450      0.0327652623
   25      1.0000007153      2.5555428316      0.0045381847      0.2591061001      0.0361885910
   26      1.0000007451      2.5128979944      0.0048027317      0.2539851642      0.0397022484
   27      1.0000007749      2.4725733992      0.0050748901      0.2489564303      0.0432966709
   28      1.0000008047      2.4343636126      0.0053552942      0.2440425235      0.0469630417
   29      1.0000008345      2.3980870716      0.0056445441      0.2393075843      0.0506932501
   30      1.0000008643      2.3635827516      0.0059431986      0.2348598919      0.0544798477
   31      1.0000008941      2.3307073655      0.0062517720      0.2305719513      0.0583160036
   32      1.0000009239      2.2993330011      0.0065707314      0.2263448473      0.0621954592
   33      1.0000009537      2.2693451195      0.0069004958      0.2222651566      0.0661124855
   34      1.0000009835      2.2406408533      0.0072414367      0.2183106810      0.0700618407
   35      1.0000010133      2.2131275541      0.0075938790      0.2144373362      0.0740387315
   36      1.0000010431      2.1867215485      0.0079581025      0.2106406374      0.0780387753
   37      1.0000010729      2.1613470695      0.0083343440      0.2069231323      0.0820579668
   38      1.0000011027      2.1369353349      0.0087227998      0.2032971988      0.0860926450
   39      1.0000011325      2.1134237508      0.0091236277      0.1997647867      0.0901394645
   40      1.0000011623      2.0907552202      0.0095369500      0.1963227536      0.0941953685
   41      1.0000011921      2.0688775417      0.0099628556      0.1929743898      0.0982575636
   42      1.0000012219      2.0477428858      0.0104014027      0.1897208168      0.1023234973
   43      1.0000012517      2.0273073354      0.0108526212      0.1865649857      0.1063908376
   44      1.0000012815      2.0075304845      0.0113165148      0.1835125216      0.1104574537
   45      1.0000013113      1.9883750838      0.0117930639      0.1805560214      0.1145213993
   46      1.0000013411      1.9698067297      0.0122822267      0.1776938683      0.1185808966
   47      1.0000013709      1.9517935891      0.0127839420      0.1749249768      0.1226343222
   48      1.0000014007      1.9343061553      0.0132981309      0.1722481066      0.1266801944
   49      1.0000014305      1.9173170322      0.0138246983      0.1696617223      0.1307171611
   50      1.0000014603      1.9008007420      0.0143635347      0.1671640534      0.1347439892
   51      1.0000014901      1.8847335539      0.0149145177      0.1647546322      0.1387595551
   52      1.0000015199      1.8690933310      0.0154775137      0.1624301329      0.1427628355
   53      1.0000015497      1.8538593938      0.0160523787      0.1601877159      0.1467528995
   54      1.0000015795      1.8390123971      0.0166389598      0.1580250581      0.1507289014
   55      1.0000016093      1.8245342203      0.0172370965      0.1559397523      0.1546900736
   56      1.0000016391      1.8104078680      0.0178466212      0.1539293319      0.1586357207
   57      1.0000016689      1.7966173804      0.0184673610      0.1519913142      0.1625652141
   58      1.0000016987      1.7831477534      0.0190991376      0.1501232340      0.1664779863
   59      1.0000017285      1.7699848647      0.0197417688      0.1483226222      0.1703735268
   60      1.0000017583      1.7571154083      0.0203950690      0.1465869418      0.1742513776
   61      1.0000017881      1.7445268341      0.0210588500      0.1449137382      0.1781111289
   62      1.0000018179      1.7322072933      0.0217329215      0.1433005962      0.1819524160
   63      1.0000018477      1.7201455890      0.0224170916      0.1417451565      0.1857749157
   64      1.0000018775      1.7083311306      0.0231111675      0.1402450798      0.1895783431
   65      1.0000019074      1.6967538921      0.0238149559      0.1387981686      0.1933624491
   66      1.0000019372      1.6854043747      0.0245282635      0.1374022174      0.1971270174
   67      1.0000019670      1.6742735718      0.0252508972      0.1360549714      0.2008718623
   68      1.0000019968      1.6633529370      0.0259826645      0.1347543428      0.2045968264
   69      1.0000020266      1.6526343548      0.0267233741      0.1334983082      0.2083017787
   70      1.0000020564      1.6421101138      0.0274728359      0.1322852901      0.2119866123
   71      1.0000020862      1.6317728815      0.0282308611      0.1311131089      0.2156512429
   72      1.0000021160      1.6216156818      0.0289972629      0.1299797807      0.2192956070
   73      1.0000021458      1.6116318730      0.0297718564      0.1288835510      0.2229196604
