# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004109495      0.6239169347      0.0000000000
    4      1.0000000894      5.1624583740      0.0004351414      0.5804143671      0.0000000000
    5      1.0000001192      4.8364027932      0.0004945578      0.5220695897      0.0000000000
    6      1.0000001490      4.5561247086      0.0005790185      0.4465245332      0.0000000000
    7      1.0000001788      4.3129993038      0.0006849226      0.3850221955      0.0000676407
    8      1.0000002086      4.1002987853      0.0008103730      0.3357417251      0.0003181446
    9      1.0000002384      3.9127295088      0.0009539132      0.2970320773      0.0008646735
   10      1.0000002682      3.7460928254      0.0011141738      0.2693529228      0.0017886759
   11      1.0000002980      3.5970332964      0.0012898812      0.2484933099      0.0031349271
   12      1.0000003278      3.4628496847      0.0014799867      0.2332937915      0.0049184360
   13      1.0000003576      3.3413517456      0.0016837867      0.2213492321      0.0071334696
   14      1.0000003874      3.2307508717      0.0019009848      0.2118760702      0.0097611451
   15      1.0000004172      3.1295760437      0.0021316942      0.2044976151      0.0127750413
   16      1.0000004470      3.0366088683      0.0023763968      0.1978400107      0.0161450610
   17      1.0000004768      2.9508331165      0.0026358798      0.1919823762      0.0198399289
   18      1.0000005066      2.8713953385      0.0029111630      0.1865476982      0.0238287250
   19      1.0000005364      2.7975739788      0.0032034274      0.1816335552      0.0280817798
   20      1.0000005662      2.7287550382      0.0035139498      0.1769696920      0.0325711606
   21      1.0000005960      2.6644127938      0.0038440473      0.1725898197      0.0372708978
   22      1.0000006258      2.6040944429      0.0041950303      0.1685473003      0.0421570494
   23      1.0000006557      2.5474078008      0.0045681662      0.1646969390      0.0472076689
   24      1.0000006855      2.4940113842      0.0049646513      0.1609825146      0.0524027195
   25      1.0000007153      2.4436063709      0.0053855898      0.1573525606      0.0577239595
   26      1.0000007451      2.3959300370      0.0058319803      0.1538009997      0.0631548147
   27      1.0000007749      2.3507503706      0.0063047065      0.1503431420      0.0686802477
   28      1.0000008047      2.3078616215      0.0068045334      0.1469978492      0.0742866301
   29      1.0000008345      2.2670806056      0.0073321055      0.1437545589      0.0799616197
   30      1.0000008643      2.2282436179      0.0078879493      0.1406204004      0.0856940456
   31      1.0000008941      2.1912038400      0.0084724763      0.1375996357      0.0914738020
   32      1.0000009239      2.1558291538      0.0090859885      0.1346951508      0.0972917497
   33      1.0000009537      2.1220002877      0.0097286845      0.1319086661      0.1031396266
   34      1.0000009835      2.0896092388      0.0104006661      0.1292375999      0.1090099662
   35      1.0000010133      2.0585579243      0.0111019456      0.1266810043      0.1148960234
   36      1.0000010431      2.0287570241      0.0118324532      0.1242372548      0.1207917071
   37      1.0000010729      2.0001249847      0.0125920445      0.1219039271      0.1266915204
   38      1.0000011027      1.9725871582      0.0133805073      0.1196779433      0.1325905047
   39      1.0000011325      1.9460750560      0.0141975689      0.1175556177      0.1384841913
   40      1.0000011623      1.9205256998      0.0150429030      0.1155332818      0.1443685559
   41      1.0000011921      1.8958810558      0.0159161355      0.1136069528      0.1502399787
   42      1.0000012219      1.8720875393      0.0168168509      0.1117723764      0.1560952076
   43      1.0000012517      1.8490955810      0.0177445979      0.1100253250      0.1619313258
   44      1.0000012815      1.8268592445      0.0186988945      0.1083615600      0.1677457210
   45      1.0000013113      1.8053358895      0.0196792328      0.1067768595      0.1735360591
   46      1.0000013411      1.7844858738      0.0206850834      0.1052669536      0.1793002591
   47      1.0000013709      1.7642722892      0.0217158996      0.1038277089      0.1850364712
   48      1.0000014007      1.7446607263      0.0227711208      0.1024551289      0.1907430557
   49      1.0000014305      1.7256190649      0.0238501761      0.1011452908      0.1964185652
   50      1.0000014603      1.7071172866      0.0249524871      0.0998951128      0.2020617273
   51      1.0000014901      1.6891273071      0.0260774706      0.0987008779      0.2076714290
   52      1.0000015199      1.6716228251      0.0272245412      0.0975582571      0.2132467030
   53      1.0000015497      1.6545791863      0.0283931131      0.0964641142      0.2187867143
   54      1.0000015795      1.6379732602      0.0295826021      0.0954152999      0.2242907485
   55      1.0000016093      1.6217833293      0.0307924273      0.0944087153      0.2297582011
   56      1.0000016391      1.6059889873      0.0320220124      0.0934415657      0.2351885672
   57      1.0000016689      1.5905710474      0.0332707870      0.0925112087      0.2405814328
   58      1.0000016987      1.5755114585      0.0345381876      0.0916151519      0.2459364658
   59      1.0000017285      1.5607932275      0.0358236584      0.0907510484      0.2512534090
   60      1.0000017583      1.5464003497      0.0371266522      0.0899166938      0.2565320725
   61      1.0000017881      1.5323177433      0.0384466311      0.0891100203      0.2617723274
   62      1.0000018179      1.5185311903      0.0397830665      0.0883290923      0.2669741000
   63      1.0000018477      1.5050272812      0.0411354401      0.0875721001      0.2721373660
   64      1.0000018775      1.4917933639      0.0425032436      0.0868373548      0.2772621459
   65      1.0000019074      1.4788174970      0.0438859793      0.0861232821      0.2823484999
   66      1.0000019372      1.4660884060      0.0452831603      0.0854284164      0.2873965244
   67      1.0000019670      1.4535954425      0.0466943102      0.0847513955      0.2924063472
   68      1.0000019968      1.4413285464      0.0481189633      0.0840909543      0.2973781251
   69      1.0000020266      1.4292782110      0.0495566647      0.0834459195      0.3023120397
   70      1.0000020564      1.4174354502      0.0510069700      0.0828152038      0.3072082949
   71      1.0000020862      1.4057917671      0.0524694453      0.0821978013      0.3120671144
   72      1.0000021160      1.3943391265      0.0539436671      0.0815927816      0.3168887387
   73      1.0000021458      1.3830699271      0.0554292220      0.0809992854      0.3216734234
