# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004196608      0.6703431403      0.0000000000
    4      1.0000000894      5.1633001249      0.0004499966      0.7516934751      0.0000000000
    5      1.0000001192      4.8391034108      0.0005161275      0.7153677142      0.0000000000
    6      1.0000001490      4.5616340856      0.0006084549      0.7006650454      0.0000000000
    7      1.0000001788      4.3221307990      0.0007233232      0.6578932433      0.0000676407
    8      1.0000002086      4.1137242355      0.0008584124      0.6145524768      0.0002670165
    9      1.0000002384      3.9309938095      0.0010115543      0.5734636398      0.0006516487
   10      1.0000002682      3.7696313739      0.0011804317      0.5361401652      0.0012573832
   11      1.0000002980      3.6261872187      0.0013626169      0.5033113219      0.0021053268
   12      1.0000003278      3.4978781523      0.0015557276      0.4753292501      0.0032044757
   13      1.0000003576      3.3824420216      0.0017575897      0.4509907798      0.0045550646
   14      1.0000003874      3.2780268832      0.0019663548      0.4310918522      0.0061511191
   15      1.0000004172      3.1831060662      0.0021805635      0.4143273257      0.0079825494
   16      1.0000004470      3.0964126499      0.0023991585      0.4000631949      0.0100366706
   17      1.0000004768      3.0168885744      0.0026214644      0.3879380508      0.0122993274
   18      1.0000005066      2.9436448434      0.0028471451      0.3776536661      0.0147556869
   19      1.0000005364      2.8759301911      0.0030761515      0.3686115252      0.0173907956
   20      1.0000005662      2.8131062481      0.0033086667      0.3603203323      0.0201899591
   21      1.0000005960      2.7546277315      0.0035450525      0.3526833979      0.0231389925
   22      1.0000006258      2.7000265440      0.0037858022      0.3454120661      0.0262243792
   23      1.0000006557      2.6488989346      0.0040314992      0.3383002017      0.0294333629
   24      1.0000006855      2.6008950714      0.0042827823      0.3313078777      0.0327539929
   25      1.0000007153      2.5557105269      0.0045403178      0.3245688668      0.0361751363
   26      1.0000007451      2.5130792874      0.0048047770      0.3181567484      0.0396864673
   27      1.0000007749      2.4727679856      0.0050768193      0.3118814139      0.0432784424
   28      1.0000008047      2.4345711183      0.0053570788      0.3057220661      0.0469422645
   29      1.0000008345      2.3983070631      0.0056461558      0.2997250980      0.0506698421
   30      1.0000008643      2.3638147448      0.0059446095      0.2939968221      0.0544537453
   31      1.0000008941      2.3309508352      0.0062529547      0.2884113116      0.0582871605
   32      1.0000009239      2.2995873891      0.0065716592      0.2828903283      0.0621638457
   33      1.0000009537      2.2696098423      0.0069011429      0.2775354086      0.0660780869
   34      1.0000009835      2.2409153092      0.0072417782      0.2722938254      0.0700246563
   35      1.0000010133      2.2134111296      0.0075938911      0.2671426070      0.0739987730
   36      1.0000010431      2.1870136240      0.0079577626      0.2620963235      0.0779960661
   37      1.0000010729      2.1616470248      0.0083336308      0.2571481139      0.0820125402
   38      1.0000011027      2.1372425535      0.0087216932      0.2523097456      0.0860445435
   39      1.0000011325      2.1137376238      0.0091221092      0.2475880687      0.0900887388
   40      1.0000011623      2.0910751500      0.0095350023      0.2429844085      0.0941420759
   41      1.0000011921      2.0692029448      0.0099604629      0.2385026888      0.0982017674
   42      1.0000012219      2.0480731952      0.0103985507      0.2341461797      0.1022652661
   43      1.0000012517      2.0276420027      0.0108492968      0.2299154152      0.1063302440
   44      1.0000012815      2.0078689813      0.0113127066      0.2258218220      0.1103945739
   45      1.0000013113      1.9887169032      0.0117887616      0.2218599542      0.1144563122
   46      1.0000013411      1.9701513870      0.0122774215      0.2180238798      0.1185136832
   47      1.0000013709      1.9521406224      0.0127786264      0.2143105106      0.1225650651
   48      1.0000014007      1.9346551259      0.0132922986      0.2107184396      0.1266089770
   49      1.0000014305      1.9176675248      0.0138183443      0.2072458365      0.1306440675
   50      1.0000014603      1.9011523645      0.0143566551      0.2038905134      0.1346691035
   51      1.0000014901      1.8850859372      0.0149071098      0.2006499777      0.1386829612
   52      1.0000015199      1.8694461288      0.0154695757      0.1975216472      0.1426846166
   53      1.0000015497      1.8542122818      0.0160439099      0.1945029097      0.1466731380
   54      1.0000015795      1.8393650727      0.0166299604      0.1915908049      0.1506476785
   55      1.0000016093      1.8248864017      0.0172275675      0.1887825950      0.1546074691
   56      1.0000016391      1.8107592935      0.0178365647      0.1860740044      0.1585518130
   57      1.0000016689      1.7969678080      0.0184567795      0.1834618166      0.1624800797
   58      1.0000016987      1.7834969595      0.0190880346      0.1809428032      0.1663917001
   59      1.0000017285      1.7703326436      0.0197301483      0.1785137360      0.1702861616
   60      1.0000017583      1.7574615711      0.0203829356      0.1761714035      0.1741630042
   61      1.0000017881      1.7448712082      0.0210462089      0.1739126266      0.1780218160
   62      1.0000018179      1.7325497214      0.0217197784      0.1717342706      0.1818622303
   63      1.0000018477      1.7204859282      0.0224034526      0.1696332529      0.1856839217
   64      1.0000018775      1.7086692515      0.0230970392      0.1676065532      0.1894866030
   65      1.0000019074      1.6970896786      0.0238003453      0.1656512705      0.1932700231
   66      1.0000019372      1.6857377225      0.0245131778      0.1637645183      0.1970339634
   67      1.0000019670      1.6746043881      0.0252353438      0.1619435622      0.2007782360
   68      1.0000019968      1.6636811396      0.0259666514      0.1601858528      0.2045026816
   69      1.0000020266      1.6529598715      0.0267069093      0.1584884060      0.2082071668
   70      1.0000020564      1.6424328818      0.0274559275      0.1568486771      0.2118915827
   71      1.0000020862      1.6320928466      0.0282135176      0.1552642058      0.2155558430
   72      1.0000021160      1.6219327978      0.0289794928      0.1537326162      0.2191998822
   73      1.0000021458      1.6119461015      0.0297536682      0.1522516166      0.2228236543
