# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004111962      0.6703431403      0.0000000000
    4      1.0000000894      5.1624583740      0.0004353861      0.6820987118      0.0000000000
    5      1.0000001192      4.8364027932      0.0004948553      0.6556936569      0.0000000000
    6      1.0000001490      4.5561247086      0.0005793865      0.5862837294      0.0000000000
    7      1.0000001788      4.3129994691      0.0006853590      0.5131600519      0.0000676407
    8      1.0000002086      4.1002995914      0.0008108661      0.4486914590      0.0003181446
    9      1.0000002384      3.9127317640      0.0009544525      0.3940183695      0.0008646735
   10      1.0000002682      3.7460975797      0.0011147591      0.3513048094      0.0017886905
   11      1.0000002980      3.5970416944      0.0012905180      0.3189366542      0.0031349581
   12      1.0000003278      3.4628628203      0.0014806803      0.2951058586      0.0049184236
   13      1.0000003576      3.3413705526      0.0016845387      0.2766594131      0.0071332757
   14      1.0000003874      3.2307760622      0.0019017921      0.2624561618      0.0097605704
   15      1.0000004172      3.1296080896      0.0021325491      0.2519394907      0.0127738526
   16      1.0000004470      3.0366480140      0.0023772881      0.2429838727      0.0161430173
   17      1.0000004768      2.9508794095      0.0026367931      0.2354019064      0.0198368035
   18      1.0000005066      2.8714486669      0.0029120816      0.2286587588      0.0238243212
   19      1.0000005364      2.7976341091      0.0032043328      0.2227333630      0.0280759397
   20      1.0000005662      2.7288216483      0.0035148224      0.2171228974      0.0325637684
   21      1.0000005960      2.6644855004      0.0038448666      0.2118027541      0.0372618778
   22      1.0000006258      2.6041728235      0.0041957759      0.2067738343      0.0421463627
   23      1.0000006557      2.5474914096      0.0045688180      0.2019594758      0.0471953081
   24      1.0000006855      2.4940997652      0.0049651898      0.1972600594      0.0523887037
   25      1.0000007153      2.4436990669      0.0053859967      0.1926489696      0.0577083283
   26      1.0000007451      2.3960265970      0.0058322384      0.1881274532      0.0631376237
   27      1.0000007749      2.3508503550      0.0063048001      0.1837237617      0.0686615642
   28      1.0000008047      2.3079646065      0.0068044482      0.1794516911      0.0742665294
   29      1.0000008345      2.2671861865      0.0073318287      0.1753074424      0.0799401822
   30      1.0000008643      2.2283514109      0.0078874697      0.1712957457      0.0856713548
   31      1.0000008941      2.1913134844      0.0084717842      0.1674133694      0.0914499421
   32      1.0000009239      2.1559403128      0.0090850757      0.1636655149      0.0972668046
   33      1.0000009537      2.1221126486      0.0097275440      0.1600560060      0.1031136788
   34      1.0000009835      2.0897225134      0.0103992923      0.1565868737      0.1089830960
   35      1.0000010133      2.0586718480      0.0111003342      0.1532583173      0.1148683080
   36      1.0000010431      2.0288713556      0.0118306011      0.1500692200      0.1207632208
   37      1.0000010729      2.0002395049      0.0125899495      0.1470173912      0.1266623337
   38      1.0000011027      1.9727016689      0.0133781682      0.1441006379      0.1325606849
   39      1.0000011325      1.9461893790      0.0141949855      0.1413159428      0.1384538018
   40      1.0000011623      1.9206396752      0.0150400756      0.1386576648      0.1443376565
   41      1.0000011921      1.8959945410      0.0159130654      0.1361211502      0.1502086257
   42      1.0000012219      1.8722004077      0.0168135399      0.1337019054      0.1560634538
   43      1.0000012517      1.8492077203      0.0177410485      0.1313947353      0.1618992206
   44      1.0000012815      1.8269705560      0.0186951096      0.1291946014      0.1677133108
   45      1.0000013113      1.8054462867      0.0196752158      0.1270962333      0.1735033870
   46      1.0000013411      1.7845952815      0.0206808381      0.1250946426      0.1792673655
   47      1.0000013709      1.7643806422      0.0217114301      0.1231849054      0.1850033935
   48      1.0000014007      1.7447679687      0.0227664315      0.1213632663      0.1907098289
   49      1.0000014305      1.7257251492      0.0238452717      0.1196245484      0.1963852219
   50      1.0000014603      1.7072221730      0.0249473725      0.1179631691      0.2020282976
   51      1.0000014901      1.6892309627      0.0260721510      0.1163747833      0.2076379410
   52      1.0000015199      1.6717252232      0.0272190216      0.1148551563      0.2132131826
   53      1.0000015497      1.6546803059      0.0283873989      0.1134003884      0.2187531855
   54      1.0000015795      1.6380730854      0.0295766987      0.1120065325      0.2242572336
   55      1.0000016093      1.6218818489      0.0307863401      0.1106697739      0.2297247205
   56      1.0000016391      1.6060861941      0.0320157468      0.1093866074      0.2351551398
   57      1.0000016689      1.5906669383      0.0332643485      0.1081537050      0.2405480759
   58      1.0000016987      1.5756060333      0.0345315816      0.1069679136      0.2459031955
   59      1.0000017285      1.5608864894      0.0358168903      0.1058262517      0.2512202398
   60      1.0000017583      1.5464923044      0.0371197274      0.1047259056      0.2564990178
   61      1.0000017881      1.5324083991      0.0384395548      0.1036642241      0.2617393994
   62      1.0000018179      1.5186205575      0.0397758440      0.1026387134      0.2669413098
   63      1.0000018477      1.5051153720      0.0411280764      0.1016470319      0.2721047237
   64      1.0000018775      1.4918801923      0.0424957437      0.1006869809      0.2772296604
   65      1.0000019074      1.4789030784      0.0438783482      0.0997565009      0.2823161795
   66      1.0000019372      1.4661727570      0.0452754028      0.0988536650      0.2873643763
   67      1.0000019670      1.4536785809      0.0466864308      0.0979766718      0.2923743781
   68      1.0000019968      1.4414104910      0.0481109667      0.0971238391      0.2973463407
   69      1.0000020266      1.4293589814      0.0495485552      0.0962935972      0.3022804450
   70      1.0000020564      1.4175150665      0.0509987519      0.0954844830      0.3071768945
   71      1.0000020862      1.4058702502      0.0524611228      0.0946951338      0.3120359121
   72      1.0000021160      1.3944164975      0.0539352442      0.0939242811      0.3168577379
   73      1.0000021458      1.3831462075      0.0554207027      0.0931707454      0.3216426268
