# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004194426      0.6206007772      0.0000000000
    4      1.0000000894      5.1633001249      0.0004498941      0.6541020152      0.0000000000
    5      1.0000001192      4.8391034108      0.0005161643      0.5885223639      0.0000000000
    6      1.0000001490      4.5616370083      0.0006087297      0.5949480875      0.0000000000
    7      1.0000001788      4.3221440905      0.0007239905      0.5627351273      0.0000676407
    8      1.0000002086      4.1137602555      0.0008596666      0.5489341146      0.0002670165
    9      1.0000002384      3.9310695516      0.0010136120      0.5317071058      0.0006513538
   10      1.0000002682      3.7697678703      0.0011835126      0.5197673900      0.0012557280
   11      1.0000002980      3.6264088152      0.0013669237      0.5073848078      0.0021001142
   12      1.0000003278      3.4982117459      0.0015614282      0.4972101126      0.0031921300
   13      1.0000003576      3.3829163112      0.0017648013      0.4875153137      0.0045305650
   14      1.0000003874      3.2786716639      0.0019751298      0.4790722304      0.0061080538
   15      1.0000004172      3.1839515864      0.0021908758      0.4717504237      0.0079132734
   16      1.0000004470      3.0974890433      0.0024108921      0.4651339643      0.0099325156
   17      1.0000004768      3.0182253726      0.0026344028      0.4588931839      0.0121508386
   18      1.0000005066      2.9452705716      0.0028609628      0.4530900538      0.0145528602
   19      1.0000005364      2.8778720431      0.0030904084      0.4475619242      0.0171233005
   20      1.0000005662      2.8153898359      0.0033228040      0.4425033898      0.0198473366
   21      1.0000005960      2.7572769018      0.0035583916      0.4373874583      0.0227108247
   22      1.0000006258      2.7030632549      0.0037975461      0.4322514190      0.0257004292
   23      1.0000006557      2.6523431824      0.0040407352      0.4270684915      0.0288036861
   24      1.0000006855      2.6047648610      0.0042884869      0.4218559233      0.0320090220
   25      1.0000007153      2.5600218769      0.0045413630      0.4166864090      0.0353057436
   26      1.0000007451      2.5178462644      0.0047999372      0.4115732505      0.0386840077
   27      1.0000007749      2.4780027606      0.0050647790      0.4065445376      0.0421347798
   28      1.0000008047      2.4402840405      0.0053364410      0.4016170630      0.0456497857
   29      1.0000008345      2.4045067464      0.0056154501      0.3967148930      0.0492214600
   30      1.0000008643      2.3705081637      0.0059023007      0.3918880153      0.0528428937
   31      1.0000008941      2.3381434260      0.0061974508      0.3871358600      0.0565077835
   32      1.0000009239      2.3072831550      0.0065013191      0.3824028465      0.0602103820
   33      1.0000009537      2.2778114593      0.0068142844      0.3776857290      0.0639454515
   34      1.0000009835      2.2496242323      0.0071366851      0.3730061978      0.0677082198
   35      1.0000010133      2.2226276963      0.0074688196      0.3683677417      0.0714943400
   36      1.0000010431      2.1967371562      0.0078109482      0.3637861518      0.0752998526
   37      1.0000010729      2.1718759262      0.0081632936      0.3592729237      0.0791211510
   38      1.0000011027      2.1479744034      0.0085260439      0.3548020163      0.0829549501
   39      1.0000011325      2.1249692666      0.0088993536      0.3503775487      0.0867982575
   40      1.0000011623      2.1028027792      0.0092833462      0.3460126759      0.0906483468
   41      1.0000011921      2.0814221830      0.0096781163      0.3417061598      0.0945027342
   42      1.0000012219      2.0607791681      0.0100837314      0.3374740051      0.0983591563
   43      1.0000012517      2.0408294090      0.0105002344      0.3333305053      0.1022155510
   44      1.0000012815      2.0215321571      0.0109276451      0.3292669525      0.1060700391
   45      1.0000013113      2.0028498815      0.0113659625      0.3252856496      0.1099209082
   46      1.0000013411      1.9847479532      0.0118151662      0.3213908726      0.1137665986
   47      1.0000013709      1.9671943641      0.0122752188      0.3175861852      0.1176056892
   48      1.0000014007      1.9501594796      0.0127460665      0.3138744447      0.1214368861
   49      1.0000014305      1.9336158175      0.0132276416      0.3102598789      0.1252590114
   50      1.0000014603      1.9175378518      0.0137198634      0.3067402895      0.1290709933
   51      1.0000014901      1.9019018375      0.0142226395      0.3033167250      0.1328718573
   52      1.0000015199      1.8866856542      0.0147358672      0.2999893142      0.1366607181
   53      1.0000015497      1.8718686655      0.0152594346      0.2967600425      0.1404367719
   54      1.0000015795      1.8574315934      0.0157932216      0.2936245347      0.1441992899
   55      1.0000016093      1.8433564051      0.0163371008      0.2905818027      0.1479476125
   56      1.0000016391      1.8296262113      0.0168909386      0.2876306083      0.1516811429
   57      1.0000016689      1.8162251740      0.0174545959      0.2847696202      0.1553993430
   58      1.0000016987      1.8031384239      0.0180279289      0.2819977779      0.1591017283
   59      1.0000017285      1.7903519851      0.0186107896      0.2793146542      0.1627878635
   60      1.0000017583      1.7778527068      0.0192030268      0.2767158302      0.1664573591
   61      1.0000017881      1.7656282019      0.0198044866      0.2741986294      0.1701098677
   62      1.0000018179      1.7536667906      0.0204150126      0.2717608636      0.1737450805
   63      1.0000018477      1.7419574489      0.0210344469      0.2694004990      0.1773627249
   64      1.0000018775      1.7304897626      0.0216626302      0.2671148808      0.1809625613
   65      1.0000019074      1.7192538841      0.0222994022      0.2649028967      0.1845443808
   66      1.0000019372      1.7082404937      0.0229446024      0.2627611333      0.1881080028
   67      1.0000019670      1.6974407637      0.0235980699      0.2606867264      0.1916532733
   68      1.0000019968      1.6868463261      0.0242596441      0.2586773624      0.1951800622
   69      1.0000020266      1.6764492419      0.0249291648      0.2567306133      0.1986882621
   70      1.0000020564      1.6662419739      0.0256064725      0.2548442572      0.2021777867
   71      1.0000020862      1.6562173612      0.0262914086      0.2530158786      0.2056485686
   72      1.0000021160      1.6463685955      0.0269838157      0.2512432443      0.2091005585
   73      1.0000021458      1.6366891998      0.0276835378      0.2495241522      0.2125337237
