# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004111678      0.6384570101      0.0000000000
    4      1.0000000894      5.1624583740      0.0004354048      0.6029714426      0.0000000000
    5      1.0000001192      4.8364027932      0.0004949941      0.5505952930      0.0000000000
    6      1.0000001490      4.5561247086      0.0005797214      0.4703457836      0.0000000000
    7      1.0000001788      4.3129985557      0.0006859597      0.4111074616      0.0000676407
    8      1.0000002086      4.1002949279      0.0008117800      0.3650930946      0.0003181446
    9      1.0000002384      3.9127180345      0.0009556835      0.3288724536      0.0008649684
   10      1.0000002682      3.7460669997      0.0011162536      0.3035318232      0.0017902114
   11      1.0000002980      3.5969844487      0.0012921792      0.2857901460      0.0031395510
   12      1.0000003278      3.4627677219      0.0014823962      0.2722515825      0.0049290005
   13      1.0000003576      3.3412257434      0.0016862134      0.2617738622      0.0071537742
   14      1.0000003874      3.2305696384      0.0019033750      0.2530380221      0.0097957548
   15      1.0000004172      3.1293285952      0.0021340589      0.2455810059      0.0128290435
   16      1.0000004470      3.0362847878      0.0023788298      0.2390500092      0.0162238132
   17      1.0000004768      2.9504227991      0.0026385684      0.2328888813      0.0199488262
   18      1.0000005066      2.8708901341      0.0029143928      0.2273195800      0.0239730040
   19      1.0000005364      2.7969662535      0.0032075811      0.2220580339      0.0282663676
   20      1.0000005662      2.7280381741      0.0035195020      0.2171706683      0.0328005699
   21      1.0000005960      2.6635811481      0.0038515553      0.2125019189      0.0375491632
   22      1.0000006258      2.6031432803      0.0042051241      0.2079870757      0.0424876985
   23      1.0000006557      2.5463332118      0.0045815371      0.2036598010      0.0475937219
   24      1.0000006855      2.4928101991      0.0049820397      0.1994850188      0.0528467094
   25      1.0000007153      2.4422760731      0.0054077747      0.1954272764      0.0582279663
   26      1.0000007451      2.3944686822      0.0058597687      0.1914842427      0.0637205087
   27      1.0000007749      2.3491565113      0.0063389246      0.1876169785      0.0693089372
   28      1.0000008047      2.3061342394      0.0068460186      0.1838511903      0.0749793097
   29      1.0000008345      2.2652190510      0.0073817005      0.1802068216      0.0807190176
   30      1.0000008643      2.2262475561      0.0079464963      0.1767128983      0.0865166679
   31      1.0000008941      2.1890732048      0.0085408135      0.1733301672      0.0923619727
   32      1.0000009239      2.1535641055      0.0091649468      0.1700747418      0.0982456464
   33      1.0000009537      2.1196011767      0.0098190851      0.1669366951      0.1041593115
   34      1.0000009835      2.0870765732      0.0105033194      0.1639103907      0.1100954121
   35      1.0000010133      2.0558923413      0.0112176499      0.1609985268      0.1160471360
   36      1.0000010431      2.0259592644      0.0119619943      0.1581992240      0.1220083435
   37      1.0000010729      1.9971958695      0.0127361952      0.1555339073      0.1279735033
   38      1.0000011027      1.9695275687      0.0135400279      0.1530274298      0.1339376348
   39      1.0000011325      1.9428859152      0.0143732070      0.1506202957      0.1398962561
   40      1.0000011623      1.9172079558      0.0152353936      0.1483109041      0.1458453372
   41      1.0000011921      1.8924356677      0.0161262019      0.1461018793      0.1517812579
   42      1.0000012219      1.8685154642      0.0170452047      0.1439861063      0.1577007698
   43      1.0000012517      1.8453977629      0.0179919394      0.1419592441      0.1636009624
   44      1.0000012815      1.8230366046      0.0189659131      0.1400167345      0.1694792320
   45      1.0000013113      1.8013893187      0.0199666076      0.1381539954      0.1753332541
   46      1.0000013411      1.7804162259      0.0209934832      0.1363662811      0.1811609581
   47      1.0000013709      1.7600803757      0.0220459835      0.1346498841      0.1869605045
   48      1.0000014007      1.7403473128      0.0231235383      0.1330070239      0.1927302642
   49      1.0000014305      1.7211848684      0.0242255675      0.1314290021      0.1984687994
   50      1.0000014603      1.7025629744      0.0253514834      0.1299117217      0.2041748469
   51      1.0000014901      1.6844534961      0.0265006941      0.1284520138      0.2098473024
   52      1.0000015199      1.6668300825      0.0276726051      0.1270506357      0.2154852057
   53      1.0000015497      1.6496680309      0.0288666220      0.1257096297      0.2210877283
   54      1.0000015795      1.6329441646      0.0300821516      0.1244171326      0.2266541610
   55      1.0000016093      1.6166367225      0.0313186044      0.1231701587      0.2321839033
   56      1.0000016391      1.6007252579      0.0325753952      0.1219659750      0.2376764530
   57      1.0000016689      1.5851905473      0.0338519446      0.1208019484      0.2431313977
   58      1.0000016987      1.5700145065      0.0351476799      0.1196756349      0.2485484057
   59      1.0000017285      1.5551801137      0.0364620362      0.1185846555      0.2539272186
   60      1.0000017583      1.5406713393      0.0377944569      0.1175267544      0.2592676445
   61      1.0000017881      1.5264730815      0.0391443941      0.1164998250      0.2645695510
   62      1.0000018179      1.5125711060      0.0405113094      0.1155018938      0.2698328598
   63      1.0000018477      1.4989519913      0.0418946743      0.1145321015      0.2750575410
   64      1.0000018775      1.4856030776      0.0432939701      0.1135876531      0.2802436083
   65      1.0000019074      1.4725124198      0.0447086883      0.1126694682      0.2853911142
   66      1.0000019372      1.4596687430      0.0461383307      0.1117732803      0.2905001465
   67      1.0000019670      1.4470614025      0.0475824098      0.1109140054      0.2955708235
   68      1.0000019968      1.4346803451      0.0490404482      0.1100791864      0.3006032915
   69      1.0000020266      1.4225160741      0.0505119789      0.1092639890      0.3055977213
   70      1.0000020564      1.4105596160      0.0519965454      0.1084655420      0.3105543051
   71      1.0000020862      1.3988024898      0.0534937012      0.1076822977      0.3154732543
   72      1.0000021160      1.3872366778      0.0550030100      0.1069156727      0.3203547967
   73      1.0000021458      1.3758545988      0.0565240455      0.1061678640      0.3251991748
