# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004194283      0.6289683511      0.0000000000
    4      1.0000000894      5.1633001249      0.0004498240      0.6659603462      0.0000000000
    5      1.0000001192      4.8391034108      0.0005159865      0.5975396350      0.0000000000
    6      1.0000001490      4.5616355469      0.0006083743      0.5935449928      0.0000000000
    7      1.0000001788      4.3221374230      0.0007233701      0.5543521368      0.0000676407
    8      1.0000002086      4.1137421235      0.0008586804      0.5315391388      0.0002670165
    9      1.0000002384      3.9310313007      0.0010121489      0.5066831014      0.0006515012
   10      1.0000002682      3.7696987475      0.0011814552      0.4872251173      0.0012565674
   11      1.0000002980      3.6262963496      0.0013641569      0.4687586470      0.0021027820
   12      1.0000003278      3.4980421547      0.0015578497      0.4528327612      0.0031984869
   13      1.0000003576      3.3826748973      0.0017603322      0.4382818953      0.0045432323
   14      1.0000003874      3.2783431845      0.0019697250      0.4257011175      0.0061303847
   15      1.0000004172      3.1835205820      0.0021845332      0.4150550046      0.0079492693
   16      1.0000004470      3.0969401220      0.0024036601      0.4057105785      0.0099867155
   17      1.0000004768      3.0175434495      0.0026263864      0.3970725770      0.0122281952
   18      1.0000005066      2.9444410646      0.0028523286      0.3891191353      0.0146586161
   19      1.0000005364      2.8768810283      0.0030813869      0.3817280890      0.0172628728
   20      1.0000005662      2.8142241670      0.0033136917      0.3749635510      0.0200262142
   21      1.0000005960      2.7559242975      0.0035495517      0.3685330969      0.0229344809
   22      1.0000006258      2.7015123579      0.0037894067      0.3623307096      0.0259742494
   23      1.0000006557      2.6505835954      0.0040337884      0.3562869333      0.0291329100
   24      1.0000006855      2.6027871621      0.0042832857      0.3504169740      0.0323986993
   25      1.0000007153      2.5578176185      0.0045385178      0.3447921748      0.0357607015
   26      1.0000007451      2.5154079588      0.0048001123      0.3393539893      0.0392088279
   27      1.0000007749      2.4753238544      0.0050686882      0.3340069549      0.0427337840
   28      1.0000008047      2.4373588811      0.0053448435      0.3287492823      0.0463270279
   29      1.0000008345      2.4013305414      0.0056291457      0.3236154621      0.0499807238
   30      1.0000008643      2.3670769363      0.0059221256      0.3186157154      0.0536876945
   31      1.0000008941      2.3344539665      0.0062242731      0.3138163880      0.0574413731
   32      1.0000009239      2.3033329709      0.0065360348      0.3091202194      0.0612357566
   33      1.0000009537      2.2735987249      0.0068578128      0.3044691086      0.0650653603
   34      1.0000009835      2.2451477366      0.0071899653      0.2998910585      0.0689251757
   35      1.0000010133      2.2178867937      0.0075328069      0.2953882924      0.0728106306
   36      1.0000010431      2.1917317165      0.0078866101      0.2909467178      0.0767175517
   37      1.0000010729      2.1666062871      0.0082516075      0.2865930741      0.0806421304
   38      1.0000011027      2.1424413247      0.0086279932      0.2823143638      0.0845808909
   39      1.0000011325      2.1191738862      0.0090159256      0.2781116945      0.0885306615
   40      1.0000011623      2.0967465719      0.0094155294      0.2739956094      0.0924885478
   41      1.0000011921      2.0751069213      0.0098268979      0.2699628217      0.0964519082
   42      1.0000012219      2.0542068854      0.0102500956      0.2660178646      0.1004183321
   43      1.0000012517      2.0340023653      0.0106851601      0.2621649206      0.1043856196
   44      1.0000012815      2.0144528070      0.0111321044      0.2584041518      0.1083517630
   45      1.0000013113      1.9955208451      0.0115909190      0.2547364290      0.1123149302
   46      1.0000013411      1.9771719880      0.0120615740      0.2511641458      0.1162734497
   47      1.0000013709      1.9593743409      0.0125440205      0.2476911837      0.1202257966
   48      1.0000014007      1.9420983588      0.0130381930      0.2443174304      0.1241705805
   49      1.0000014305      1.9253166285      0.0135440105      0.2410404612      0.1281065335
   50      1.0000014603      1.9090036742      0.0140613783      0.2378592202      0.1320325005
   51      1.0000014901      1.8931357836      0.0145901893      0.2347731477      0.1359474297
   52      1.0000015199      1.8776908536      0.0151303254      0.2317816181      0.1398503640
   53      1.0000015497      1.8626482513      0.0156816589      0.2288852505      0.1437404331
   54      1.0000015795      1.8479886899      0.0162440532      0.2260796171      0.1476168468
   55      1.0000016093      1.8336941166      0.0168173642      0.2233632285      0.1514788884
   56      1.0000016391      1.8197476127      0.0174014413      0.2207342499      0.1553259088
   57      1.0000016689      1.8061333022      0.0179961280      0.2181909246      0.1591573213
   58      1.0000016987      1.7928362703      0.0186012631      0.2157310262      0.1629725967
   59      1.0000017285      1.7798424895      0.0192166809      0.2133517704      0.1667712588
   60      1.0000017583      1.7671387520      0.0198422127      0.2110508766      0.1705528804
   61      1.0000017881      1.7547126088      0.0204776867      0.2088260110      0.1743170792
   62      1.0000018179      1.7425523149      0.0211229291      0.2066748012      0.1780635152
   63      1.0000018477      1.7306467779      0.0217777641      0.2045948954      0.1817918866
   64      1.0000018775      1.7189855127      0.0224420150      0.2025840692      0.1855019277
   65      1.0000019074      1.7075585993      0.0231155043      0.2006400202      0.1891934056
   66      1.0000019372      1.6963566439      0.0237980541      0.1987600756      0.1928661182
   67      1.0000019670      1.6853707446      0.0244894866      0.1969419715      0.1965198918
   68      1.0000019968      1.6745924582      0.0251896242      0.1951832343      0.2001545790
   69      1.0000020266      1.6640137708      0.0258982901      0.1934815462      0.2037700566
   70      1.0000020564      1.6536270709      0.0266153086      0.1918346529      0.2073662243
   71      1.0000020862      1.6434251236      0.0273405048      0.1902403826      0.2109430025
   72      1.0000021160      1.6334010480      0.0280737056      0.1886966631      0.2145003310
   73      1.0000021458      1.6235482953      0.0288147392      0.1872013361      0.2180381676
