# time   trace   domains   purity   coherence  equireached
    1      1.0000000000      6.5454545455      0.0010822511      0.0000000000      0.0000000000
    2      1.0000000298      6.0000001788      0.0004673357      0.5454545915      0.0000000000
    3      1.0000000596      5.5454548760      0.0004111820      0.6744228992      0.0000000000
    4      1.0000000894      5.1624583740      0.0004353933      0.6769181393      0.0000000000
    5      1.0000001192      4.8364027932      0.0004949214      0.6382302137      0.0000000000
    6      1.0000001490      4.5561247086      0.0005795467      0.5594951798      0.0000000000
    7      1.0000001788      4.3129990124      0.0006856437      0.4872895231      0.0000676407
    8      1.0000002086      4.1002972410      0.0008112929      0.4279830673      0.0003181446
    9      1.0000002384      3.9127247994      0.0009550159      0.3796243682      0.0008648210
   10      1.0000002682      3.7460819872      0.0011154247      0.3430970176      0.0017894502
   11      1.0000002980      3.5970123867      0.0012912320      0.3163479332      0.0031372467
   12      1.0000003278      3.4628139803      0.0014813843      0.2962800120      0.0049236792
   13      1.0000003576      3.3412960038      0.0016851858      0.2809567989      0.0071434348
   14      1.0000003874      3.2306696008      0.0019023612      0.2686119509      0.0097779678
   15      1.0000004172      3.1294637465      0.0021330554      0.2591078523      0.0128010866
   16      1.0000004470      3.0364602381      0.0023777906      0.2508571455      0.0161828121
   17      1.0000004768      2.9506431795      0.0026373986      0.2435763889      0.0198918855
   18      1.0000005066      2.8711595452      0.0029129458      0.2372368016      0.0238973180
   19      1.0000005364      2.7972882526      0.0032056585      0.2313630797      0.0281693050
   20      1.0000005662      2.7284157902      0.0035168565      0.2258663368      0.0326797326
   21      1.0000005960      2.6640169137      0.0038478956      0.2205927836      0.0374024218
   22      1.0000006258      2.6036392742      0.0042001202      0.2155308399      0.0423132083
   23      1.0000006557      2.5468911062      0.0045748267      0.2106707279      0.0473899229
   24      1.0000006855      2.4934313077      0.0049732347      0.2059447199      0.0526123151
   25      1.0000007153      2.4429613979      0.0053964675      0.2013273573      0.0579619439
   26      1.0000007451      2.3952189566      0.0058455377      0.1968365746      0.0634220550
   27      1.0000007749      2.3499722399      0.0063213394      0.1924359165      0.0689774512
   28      1.0000008047      2.3070157333      0.0068246444      0.1881579138      0.0746143654
   29      1.0000008345      2.2661664593      0.0073561014      0.1840075029      0.0803203367
   30      1.0000008643      2.2272608931      0.0079162385      0.1799780642      0.0860840946
   31      1.0000008941      2.1901523741      0.0085054671      0.1760814783      0.0918954505
   32      1.0000009239      2.1547089206      0.0091240877      0.1723228542      0.0977451973
   33      1.0000009537      2.1208113795      0.0097722962      0.1687122847      0.1036250180
   34      1.0000009835      2.0883518494      0.0104501908      0.1652460587      0.1095274020
   35      1.0000010133      2.0572323342      0.0111577799      0.1619223945      0.1154455689
   36      1.0000010431      2.0273635869      0.0118949892      0.1587358860      0.1213734003
   37      1.0000010729      1.9986641147      0.0126616694      0.1556822046      0.1273053772
   38      1.0000011027      1.9710593189      0.0134576032      0.1527593935      0.1332365243
   39      1.0000011325      1.9444807501      0.0142825128      0.1499637595      0.1391623592
   40      1.0000011623      1.9188654595      0.0151360665      0.1472908091      0.1450788476
   41      1.0000011921      1.8941554345      0.0160178849      0.1447364456      0.1509823612
   42      1.0000012219      1.8702971038      0.0169275470      0.1422963278      0.1568696418
   43      1.0000012517      1.8472409046      0.0178645962      0.1399644248      0.1627377670
   44      1.0000012815      1.8249409011      0.0188285449      0.1377364519      0.1685841204
   45      1.0000013113      1.8033544483      0.0198188797      0.1356086704      0.1744063643
   46      1.0000013411      1.7824418949      0.0208350658      0.1335775664      0.1802024146
   47      1.0000013709      1.7621663195      0.0218765508      0.1316358183      0.1859704185
   48      1.0000014007      1.7424932966      0.0229427687      0.1297789854      0.1917087341
   49      1.0000014305      1.7233906872      0.0240331431      0.1280025420      0.1974159115
   50      1.0000014603      1.7048284525      0.0251470900      0.1263021918      0.2030906760
   51      1.0000014901      1.6867784863      0.0262840208      0.1246738237      0.2087319124
   52      1.0000015199      1.6692144646      0.0274433444      0.1231134161      0.2143386511
   53      1.0000015497      1.6521117098      0.0286244695      0.1216171161      0.2199100548
   54      1.0000015795      1.6354470687      0.0298268063      0.1201813215      0.2254454069
   55      1.0000016093      1.6191988009      0.0310497684      0.1188058083      0.2309441004
   56      1.0000016391      1.6033464781      0.0322927739      0.1174838834      0.2364056279
   57      1.0000016689      1.5878708927      0.0335552467      0.1162119531      0.2418295726
   58      1.0000016987      1.5727539736      0.0348366176      0.1149869322      0.2472155999
   59      1.0000017285      1.5579787092      0.0361363253      0.1138058356      0.2525634494
   60      1.0000017583      1.5435290778      0.0374538169      0.1126658525      0.2578729283
   61      1.0000017881      1.5293899824      0.0387885485      0.1115643421      0.2631439044
   62      1.0000018179      1.5155471911      0.0401399859      0.1104988201      0.2683763004
   63      1.0000018477      1.5019872823      0.0415076048      0.1094694981      0.2735700886
   64      1.0000018775      1.4886975938      0.0428908911      0.1084742791      0.2787252855
   65      1.0000019074      1.4756661755      0.0442893411      0.1075085229      0.2838419476
   66      1.0000019372      1.4628817459      0.0457024617      0.1065711455      0.2889201669
   67      1.0000019670      1.4503336514      0.0471297706      0.1056591929      0.2939600673
   68      1.0000019968      1.4380118284      0.0485707959      0.1047709832      0.2989618007
   69      1.0000020266      1.4259067681      0.0500250764      0.1039049517      0.3039255443
   70      1.0000020564      1.4140094835      0.0514921615      0.1030596682      0.3088514975
   71      1.0000020862      1.4023114787      0.0529716109      0.1022337268      0.3137398787
   72      1.0000021160      1.3908047202      0.0544629947      0.1014258631      0.3185909238
   73      1.0000021458      1.3794816102      0.0559658930      0.1006349018      0.3234048832
